,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,368.0,368.0,368.0,450.0,450.0,0.0,0.0,457,443.0,176.0,175.0,147.0,344.0,866.0,443.0,176.0,175.0,147.0,866.0,809.0,809.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,QAT,Asia,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,324957.5394265233,307.3620071684588,308.2828226482924,516.7102747909199,0.4121863799283154,0.41346974236069506,112346.23229211468,106.26300119474313,106.58133313361294,178.64009080047788,0.14250179211469535,0.14290653085680047,1.0215481986368062,,,,,,,,,3992250.6304347827,20582.671195652172,1485.082456521739,7.6565706521739125,16628.584444444445,6.1857444444444445,,,,4683886.638826185,2023825.4659090908,1798958.142857143,1548547.1768707484,15916.42441860465,8791.140877598153,173.79074492099323,75.09170454545455,66.74857142857142,57.456870748299316,3261.8441108545035,3447.3683559950555,0.1279122373300371,52.68263736263736,227.3220000000001,31.899999999999995,1.3070000000000004,0.6170000000000001,116935.60000000002,,176.69000000000003,16.520000000000003,0.8,26.899999999999995,,1.1999999999999995,80.23000000000002,0.8480000000000001,2695131.0,943.5875272500001,19.06833333333333,21.145,348.65384282562496
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,,,,,,,,,10811.0,6189.0,4.022,2.302,287.0,0.107,,,,0.0,100000.0,554982.0,933930.0,509.0,12.0,0.0,3.71,20.59,34.65,4.0,4.0,0.0,0.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,2695131.0,-0.7,-0.36,-14.42,-0.25358737
25%,,,,2021-02-26 06:00:00,159967.0,0.0,0.0,256.0,0.0,0.0,55304.73,0.0,0.0,88.506,0.0,0.0,0.86,,,,,,,,,1963165.25,15288.25,730.28075,5.68675,12438.25,4.62725,,,,3262840.5,1582024.5,1202725.0,1388391.5,5144.0,1351.0,121.065,58.697500000000005,44.625,51.515,501.0,419.0,0.016,32.6,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,2695131.0,393.0,20.2875,8.5075,145.2458175
50%,,,,2022-04-20 12:00:00,363443.0,0.0,156.0,677.0,0.0,0.0,125651.65,0.0,53.933,234.056,0.0,0.0,0.98,,,,,,,,,3902447.5,20199.0,1451.676,7.513999999999999,18692.5,6.9535,,,,4854499.0,2005328.0,1695471.0,1544518.0,13280.0,4286.0,180.12,74.405,62.91,57.31,1590.0,1246.0,0.046,52.46,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,2695131.0,971.899975,21.0,19.435,361.051115
75%,,,,2023-06-12 18:00:00,514045.0,0.0,382.714,690.0,0.0,0.286,177718.66,0.0,132.314,238.551,0.0,0.099,1.13,,,,,,,,,6247354.0,23600.5,2323.96125,8.779499999999999,22719.25,8.451,,,,6537944.5,2634285.25,2635995.5,1826208.0,24973.0,16323.25,242.58,97.7425,97.805,67.75999999999999,6056.25,4822.0,0.179,71.3,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,2695131.0,1411.4501,21.52,26.9725,522.652385
max,,,,2024-08-04 00:00:00,514524.0,28259.0,4037.0,690.0,47.0,6.714,177884.27,9769.867,1395.695,238.551,16.249,2.321,2.77,,,,,,,,,7574423.0,100000.0,2817.619,37.199,39082.0,14.538,,,,7609178.0,2852178.0,2852178.0,1904822.0,43974.0,37344.0,282.33,105.83,105.83,70.68,13856.0,20179.0,0.749,87.96,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,2695131.0,1859.4,23.64,115.97,684.50916
