,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1024.0,150.0,150.0,794.0,794.0,0.0,0.0,0.0,0.0,104.0,0.0,104.0,0.0,715.0,715.0,707.0,707.0,722,531.0,275.0,510.0,0.0,529.0,531.0,531.0,275.0,510.0,0.0,531.0,1091.0,1091.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,ROU,Europe,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,2110418.001194743,2115.662485065711,2119.621230677052,45927.41039426524,41.114097968936676,41.234162372678256,110108.13732497013,110.38175985663082,110.58833193529061,2396.1990471923536,2.145068697729988,2.151300179748352,0.9498925781249999,428.44,21.793280000000003,4308.201511335013,219.14353148614612,,,,,7521752.394230769,,389.15222115384614,,29413.352447552446,1.5217538461538462,0.10798189533239037,45.87425742574257,,10367642.849340865,3147997.2618181817,5246143.821568628,,31760.29867674858,31689.82109227872,52.73662900188325,16.012872727272725,26.68539215686275,,1611.8681732580037,7498.836846929423,0.038224564619615035,44.48580586080586,85.12900000000002,43.0,17.849999999999998,11.689999999999998,23313.199,5.700000000000002,370.946,9.739999999999998,22.9,37.100000000000016,,6.892,76.04999999999997,0.828,19659270.0,70508.71642258852,10.592631578947367,8.890095693779905,3584.29888565933
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,33.0,1.679,291.0,14.802,,,,,2730.0,,0.141,,0.0,0.0,0.0018,1.3,,965.0,965.0,875.0,,354.0,906.0,0.0,0.0,0.0,,46.0,906.0,0.005,0.0,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,19659270.0,-4960.4004,-10.1,-26.53,-255.13785
25%,,,,2021-02-26 06:00:00,777276.0,0.0,188.0,19795.0,0.0,1.857,40553.3,0.0,9.809,1032.777,0.0,0.097,0.74,84.5,4.2985,990.25,50.37075,,,,,1933327.25,,100.02475000000001,,19360.0,1.0015,0.033699999999999994,6.1,,5935399.5,1108479.0,3311041.5,,6691.0,8464.0,30.195,5.640000000000001,16.845,,430.5,3321.0,0.017,11.11,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,19659270.0,34278.1,9.35,-6.07,1773.4432
50%,,,,2022-04-20 12:00:00,2881322.0,0.0,557.429,65331.0,0.0,7.0,150328.98,0.0,29.083,3408.554,0.0,0.365,0.915,136.0,6.918,1768.0,89.9325,,,,,6475558.0,,335.02549999999997,,26455.0,1.369,0.0784,12.8,,9939162.0,3780927.0,5376122.0,,19260.0,19212.0,50.56,19.23,27.35,,977.0,3321.0,0.017,49.07,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,19659270.0,96923.516,12.86,2.76,4894.317
75%,,,,2023-06-12 18:00:00,3406169.0,0.0,2346.429,68217.0,0.0,56.143,177712.16,0.0,122.422,3559.128,0.0,2.929,1.18,714.0,36.3185,5517.5,280.65675,,,,,11572464.75,,598.72325,,34806.5,1.801,0.16349999999999998,29.65,,16409713.5,4913424.0,7994953.0,,51925.0,52774.5,83.47,24.990000000000002,40.665,,2684.5,3335.0,0.017,67.59,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,19659270.0,111317.516,16.07,14.04,5618.1465
max,,,,2024-08-04 00:00:00,3541619.0,208987.0,29855.286,68825.0,3158.0,451.143,184779.06,10903.607,1557.658,3590.849,164.764,23.538,2.61,1902.0,96.748,20951.0,1065.706,,,,,21260367.0,,1099.946,,87800.0,4.543,0.7675,545.3,,16827486.0,8188137.0,8114769.0,,150935.0,131697.0,85.6,41.65,41.28,,6699.0,59501.0,0.303,87.04,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,19659270.0,118340.805,20.62,130.11,6019.5933
