,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0,470.0,581.0,470.0,816.0,816.0,816.0,816.0,823,480.0,473.0,458.0,273.0,372.0,1015.0,480.0,473.0,458.0,273.0,1015.0,1015.0,1015.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,RUS,Europe,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,13570519.637992831,14497.448028673834,14536.885590173755,256931.14994026284,240.8530465949821,241.56948052726187,93216.99333452809,99.5841439665472,99.85505991611744,1764.8807341696531,1.654442652329749,1.6593708807669265,1.0461998041136142,,,,,,,,,99827142.51462995,331948.5425531915,687.9755215146299,2.287674468085106,361224.2573529412,2.489448529411765,0.052340073529411765,39.300490196078435,,107204588.27291666,53896031.89852008,46941109.18558952,11271838.853479853,410528.0833333333,184563.5458128079,74.08079166666667,37.24355179704016,32.43731441048035,7.788974358974358,1275.3428571428572,87737.72216748768,0.06058916256157635,41.3678021978022,8.823000000000002,39.600000000000016,14.178,9.393,24765.954000000005,0.1,431.297,6.18,23.4,58.29999999999999,,8.049999999999999,72.58000000000001,0.824,144713312.0,820075.8534770835,19.97083333333333,19.615,5666.8043646874985
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,,,,,,,,,46414.0,2243.0,0.32,0.015,4364.0,0.03,0.0006,3.4,,28500.0,28500.0,1091497.0,658982.0,215.0,25.0,0.02,0.02,0.75,0.46,0.0,1.0,0.0,0.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,144713312.0,-5538.0,-3.33,-3.33,-38.03119
25%,,,,2021-02-26 06:00:00,4164726.0,0.0,3096.143,83293.0,0.0,12.857,28607.838,0.0,21.268,572.146,0.0,0.088,0.92,,,,,,,,,28478012.0,246566.5,196.261,1.6989999999999998,272888.5,1.88075,0.0288,18.0,,46362415.0,26676560.0,18417134.0,5828561.0,136177.5,15439.0,32.0375,18.43,12.7225,4.03,106.5,5846.0,0.004,31.02,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,144713312.0,416736.77999999997,19.61,3.3725,2869.742025
50%,,,,2022-04-20 12:00:00,18074717.0,0.0,7676.857,373500.0,0.0,74.714,124156.69,0.0,52.733,2565.602,0.0,0.513,0.98,,,,,,,,,89516176.0,320963.5,616.916,2.2119999999999997,332268.5,2.29,0.0439,22.8,,116989608.0,61165173.0,51279148.5,12674232.0,311176.5,86458.0,80.84,42.27,35.435,8.76,597.0,34396.0,0.024,41.02,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,144713312.0,1093729.4500000002,21.895,13.78,7547.91915
75%,,,,2023-06-12 18:00:00,22942458.0,0.0,18719.857,399226.0,0.0,387.143,157593.6,0.0,128.588,2742.316,0.0,2.659,1.1,,,,,,,,,142356323.0,416115.75,981.073,2.86775,474739.0,3.272,0.055525,34.8,,165400389.0,80369412.0,73149533.0,16256751.0,575900.0,283499.0,114.2925,55.54,50.545,11.23,1959.5,129890.0,0.09,52.775000000000006,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,144713312.0,1267839.65,25.5425,25.715,8765.138
max,,,,2024-08-04 00:00:00,24268728.0,1323391.0,189055.857,403188.0,8709.0,1244.143,166703.84,9090.479,1298.64,2769.531,59.823,8.546,2.56,,,,,,,,,295244836.0,1118115.0,2034.729,7.706,1051732.0,7.248,0.2949,1796.6,,187374508.0,89081596.0,79702396.0,20829310.0,2389472.0,1020075.0,129.48,61.56,55.08,14.39,7049.0,569281.0,0.393,87.04,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,144713312.0,1349776.4,30.76,84.53,9344.61
