,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,7.0,38.0,7.0,110.0,110.0,110.0,110.0,117,212.0,192.0,188.0,42.0,92.0,654.0,212.0,192.0,188.0,42.0,654.0,654.0,654.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,LCA,North America,Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,17551.25806451613,18.089605734767026,18.143811264230077,249.7652329749104,0.24492234169653523,0.24567944877171963,98164.69257048983,101.1756816009558,101.47877351707608,1396.9442311827954,1.3698524492234168,1.373954463750749,0.9498859315589354,,,,,,,,,159790.7894736842,223.14285714285714,889.4462631578947,1.2418571428571428,658.9636363636364,3.6679818181818185,0.1077290909090909,17.323636363636364,,78999.32547169812,45616.65625,38440.75,7399.0,286.5108695652174,188.60244648318042,43.919716981132076,25.360729166666662,21.37101063829787,4.113333333333333,1048.5688073394494,92.53211009174312,0.0514388379204893,,293.18699999999995,34.89999999999999,9.721000000000004,6.405000000000001,12951.839000000002,,204.61999999999998,11.620000000000003,,,87.202,1.3000000000000005,76.20000000000003,0.7590000000000001,179872.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,,,,,,,134793.0,117.0,750.301,0.651,23.0,0.128,0.0223,1.7,,0.0,0.0,17301.0,6679.0,30.0,2.0,0.0,0.0,9.62,3.71,11.0,0.0,0.0,,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,179872.0,,,,
25%,,,,2021-02-26 06:00:00,2860.0,0.0,0.0,28.0,0.0,0.0,15996.062,0.0,0.0,156.605,0.0,0.0,0.83,,,,,,,,,137722.5,168.5,766.6075000000001,0.9375,139.25,0.77525,0.038000000000000006,6.6,,52883.5,32020.5,24556.0,7147.5,121.5,23.0,29.400000000000002,17.805,13.655,3.9699999999999998,128.0,8.0,0.004,,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,179872.0,,,,
50%,,,,2022-04-20 12:00:00,23111.0,0.0,1.714,367.0,0.0,0.0,129260.49,0.0,9.588,2052.642,0.0,0.0,0.99,,,,,,,,,141480.0,201.0,787.5225,1.119,174.0,0.9684999999999999,0.0635,15.8,,81625.0,52097.5,43349.5,7537.0,210.0,85.0,45.379999999999995,28.96,24.1,4.1899999999999995,473.0,36.5,0.0205,,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,179872.0,,,,
75%,,,,2023-06-12 18:00:00,30098.0,0.0,14.571,409.0,0.0,0.286,168338.98,0.0,81.498,2287.549,0.0,1.598,1.17,,,,,,,,,190832.5,243.0,1062.23425,1.3525,861.75,4.79675,0.15095,26.325,,107648.0,57281.75,51468.75,7705.0,381.25,222.0,59.85,31.8475,28.6175,4.2875,1234.0,109.0,0.061,,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,179872.0,,,,
max,,,,2024-08-04 00:00:00,30282.0,2315.0,330.714,410.0,33.0,4.714,169368.1,12947.861,1849.694,2293.142,184.57,26.367,1.53,,,,,,,,,208560.0,421.0,1160.911,2.343,2841.0,15.814,0.5776,44.8,,122977.0,60140.0,54971.0,7866.0,1798.0,1912.0,68.37,33.43,30.56,4.37,10630.0,1912.0,1.063,,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,179872.0,,,,
std,,,,,12994.45759848598,118.41982253356962,41.55532169618123,177.88199466678543,1.6443461865719569,0.5793418377185536,72678.37616936283,662.3254785845968,232.42036391717298,994.8992081778008,9.196855217363932,3.24028777259739,0.35605368352336814,,,,,,,,,29073.970106235312,98.66682754169639,161.83493627445188,0.5491649504995224,857.0283941564161,4.770487642609531,0.10806943600836443,11.12101017846361,,33119.362268093646,13130.707460178126,13470.620136118614,379.4332101643315,259.5318902916488,274.08443338675715,18.4123751377534,7.300041704649095,7.488881636867364,0.21250729303601776,1523.7617936150532,196.09918274363852,0.10901319204149695,,5.686040479241703e-14,7.107550599052128e-15,3.553775299526064e-15,8.88443824881516e-16,1.819532953357345e-12,,2.8430202396208514e-14,3.553775299526064e-15,,,0.0,4.44221912440758e-16,2.8430202396208514e-14,1.110554781101895e-16,0.0,,,,
