,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,32.0,74.0,32.0,258.0,258.0,251.0,251.0,265,140.0,124.0,113.0,69.0,33.0,765.0,140.0,124.0,113.0,69.0,765.0,765.0,765.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,0.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,24.0,24.0,24.0,24.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,VCT,North America,Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,5860.961170848268,5.778972520908005,5.796301977231876,71.74671445639187,0.07407407407407407,0.07432414619532654,57425.49750657109,56.622182198327366,56.791796884361894,702.9719557945043,0.7257777777777777,0.727941282204913,0.7840696117804551,,,,,,,,,96576.35135135135,71.1875,925.6637837837837,0.6823125,116.67054263565892,1.1183372093023256,0.16811235059760954,54.5410358565737,,51394.04285714286,29565.75806451613,24625.929203539825,3569.144927536232,504.27272727272725,85.10588235294118,49.43692857142857,28.43959677419355,23.688495575221236,3.433478260869565,818.6758169934641,38.18562091503268,0.03674509803921568,,281.7869999999999,31.800000000000008,7.724000000000003,4.832,10727.146000000004,,252.67500000000004,11.620000000000003,,,,2.600000000000001,72.52999999999999,0.7379999999999999,103959.0,23.508334900000005,2.925416666666667,6.217083333333334,225.043160625
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,,,,,,,,,77176.0,3.0,739.716,0.029,9.0,0.086,0.0004,1.0,,8952.0,8952.0,9883.0,2136.0,4.0,0.0,8.61,8.61,9.51,2.05,0.0,0.0,0.0,,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,103959.0,-6.399998,-0.39,-22.02,-61.337917
25%,,,,2021-02-26 06:00:00,1498.0,0.0,0.0,6.0,0.0,0.0,14677.353,0.0,0.0,58.788,0.0,0.0,0.55,,,,,,,,,90941.25,23.0,871.65225,0.22,46.0,0.441,0.059899999999999995,4.9,,31589.5,22442.25,19459.0,3220.0,37.0,5.0,30.3875,21.585,18.72,3.1,48.0,2.0,0.002,,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,103959.0,5.500000275,0.47750000000000004,-2.8,52.591175500000006
50%,,,,2022-04-20 12:00:00,8352.0,0.0,0.429,106.0,0.0,0.0,81832.61,0.0,4.199,1038.584,0.0,0.0,0.9,,,,,,,,,97532.0,33.5,934.8235,0.321,72.0,0.6905,0.1191,8.4,,60782.5,34655.5,29038.0,3509.0,130.0,23.0,58.47,33.34,27.93,3.38,221.0,9.0,0.009,,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,103959.0,13.500001000000001,2.5650000000000004,1.185,129.00884
75%,,,,2023-06-12 18:00:00,9636.0,0.0,4.143,124.0,0.0,0.0,94413.2,0.0,40.592,1214.948,0.0,0.0,1.05,,,,,,,,,98335.0,69.25,942.52025,0.664,136.5,1.30825,0.2052,16.7,,69860.5,36147.75,30432.0,4060.0,665.0,121.0,67.2,34.7725,29.27,3.91,1164.0,32.0,0.031,,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,103959.0,23.70000275,4.5075,9.5775,226.48219
max,,,,2024-08-04 00:00:00,9674.0,760.0,108.571,124.0,14.0,2.0,94785.52,7446.454,1063.779,1214.948,137.172,19.596,1.48,,,,,,,,,108388.0,368.0,1038.876,3.527,751.0,7.198,0.9724,2590.9,,73443.0,37532.0,31632.0,4279.0,4258.0,889.0,70.65,36.1,30.43,4.12,8551.0,454.0,0.437,,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,103959.0,128.6,9.03,82.54,1232.5092
