,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54.0,54.0,48.0,22.0,0.0,713.0,54.0,54.0,48.0,22.0,713.0,713.0,713.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,WSM,Oceania,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,8172.628434886499,10.207411835026898,10.238011990407673,14.917562724014337,0.018518518518518517,0.018575793888556017,37964.72583094385,47.41700597728632,47.55914148681056,69.29732497013143,0.08602449223416965,0.08628160575194727,0.5865277777777779,,,,,,,,,,,,,,,,,,247466.35185185185,125791.35185185185,111371.5625,72737.95454545454,,627.6129032258065,111.27537037037035,56.5637037037037,50.078125,32.707727272727276,2822.1654978962133,260.8330995792426,0.11714305750350633,,69.413,22.0,5.606,3.564,6021.556999999999,,348.9769999999999,9.210000000000004,16.699999999999996,38.100000000000016,,,73.31999999999996,0.7149999999999999,222390.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,7411.0,7411.0,1195.0,23163.0,,2.0,3.33,3.33,0.54,10.42,9.0,0.0,0.0,,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,222390.0,,,,
25%,,,,2021-02-26 06:00:00,1.0,0.0,0.0,0.0,0.0,0.0,4.645,0.0,0.0,0.0,0.0,0.0,0.09,,,,,,,,,,,,,,,,,,103270.0,73735.75,49084.5,69138.5,,32.0,46.435,33.16,22.067500000000003,31.09,144.0,1.0,0.0,,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,222390.0,,,,
50%,,,,2022-04-20 12:00:00,4380.0,0.0,0.0,9.0,0.0,0.0,20346.637,0.0,0.0,41.808,0.0,0.0,0.4,,,,,,,,,,,,,,,,,,255812.0,140610.5,124027.0,78592.5,,279.0,115.025,63.225,55.77,35.34,1255.0,32.0,0.014,,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,222390.0,,,,
75%,,,,2023-06-12 18:00:00,16763.0,0.0,0.286,31.0,0.0,0.0,77870.016,0.0,1.327,144.006,0.0,0.0,0.93,,,,,,,,,,,,,,,,,,444826.0,190439.5,177456.0,79285.25,,1022.0,200.02249999999998,85.635,79.79,35.655,4596.0,421.0,0.189,,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,222390.0,,,,
max,,,,2024-08-04 00:00:00,17057.0,3092.0,441.714,31.0,6.0,0.857,79235.75,14363.425,2051.918,144.006,27.872,3.982,1.7,,,,,,,,,,,,,,,,,,453083.0,191403.0,177954.0,82268.0,,4590.0,203.73,86.07,80.02,36.99,20639.0,2219.0,0.998,,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,222390.0,,,,
