,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,121.0,78.0,60.0,9.0,53.0,449.0,121.0,78.0,60.0,9.0,449.0,449.0,449.0,1092.0,1674.0,0.0,0.0,0.0,1674.0,0.0,0.0,1674.0,0.0,0.0,0.0,1674.0,1674.0,0.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SMR,Europe,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,13688.23715651135,15.108721624850658,15.153976632714201,94.29510155316606,0.07526881720430108,0.07553205512282804,401261.6093339307,442.9021624850657,444.2290299580587,2764.1982867383517,2.2064522102747905,2.213115638106651,0.8250146914789422,,,,,,,,,,,,,,,,,,35352.347107438014,14950.858974358975,13907.416666666666,17500.11111111111,380.0188679245283,155.47216035634744,104.93429752066115,44.37782051282052,41.280499999999996,51.94555555555556,4614.812917594655,59.88195991091314,0.1779510022271715,36.57736263736264,556.6670000000001,,,,56861.46999999998,,,5.64,,,,3.7999999999999994,84.97000000000001,,33690.0,106.64167596041666,22.643749999999997,14.001875000000004,3160.874009083333
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,,,,,,,,,,,,,,,,,,35.0,35.0,29.0,11600.0,1.0,0.0,0.1,0.1,0.09,34.43,0.0,0.0,0.0,0.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,-1.4,-5.74,-46.67,-41.1305
25%,,,,2021-02-26 06:00:00,3509.0,0.0,0.143,72.0,0.0,0.0,102864.01,0.0,4.188,2110.632,0.0,0.0,0.59,,,,,,,,,,,,,,,,,,16407.0,8364.25,8224.0,18297.0,26.0,14.0,48.7,24.830000000000002,24.4125,54.31,416.0,4.0,0.012,8.33,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,82.950007,16.8475,-6.577500000000001,2441.66815
50%,,,,2022-04-20 12:00:00,16003.0,0.0,5.429,114.0,0.0,0.0,469117.34,0.0,159.135,3341.834,0.0,0.0,0.9,,,,,,,,,,,,,,,,,,43506.0,16053.5,11658.0,19126.0,377.0,54.0,129.14,47.65,34.605,56.77,1603.0,14.0,0.042,40.75,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,129.30002000000002,23.759999999999998,11.9,3840.67065
75%,,,,2023-06-12 18:00:00,24311.0,0.0,21.714,125.0,0.0,0.0,712660.9,0.0,636.54,3664.292,0.0,0.0,1.06,,,,,,,,,,,,,,,,,,46562.0,21610.75,21686.25,19206.0,595.0,247.0,138.21,64.14500000000001,64.3725,57.01,7332.0,14.0,0.042,50.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,135.9500175,27.305,26.37,4037.47785
max,,,,2024-08-04 00:00:00,25292.0,1189.0,169.857,126.0,15.0,2.143,741418.25,34854.746,4979.249,3693.606,439.715,62.816,1.54,,,,,,,,,,,,,,,,,,69338.0,26357.0,23633.0,19348.0,990.0,725.0,205.81,78.23,70.15,57.43,21520.0,673.0,1.998,92.59,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,148.10002,43.48,129.36,4399.0977
