,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,63.0,63.0,63.0,63.0,70,55.0,51.0,47.0,18.0,0.0,867.0,55.0,51.0,47.0,18.0,867.0,867.0,867.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,STP,Africa,Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,4271.397849462365,4.044802867383512,4.0569466746554825,54.0531660692951,0.04778972520908005,0.047951467944877174,18873.85095519713,17.872610513739545,17.926144397843018,238.84259677419354,0.21117025089605737,0.21176572798082682,0.5605246913580247,,,,,,,,,2323.9,469.4,10.4159,2.1038,60.03174603174603,0.26911111111111113,0.018777777777777775,74.03015873015872,,120918.67272727273,78650.07843137255,55881.21276595745,27438.38888888889,,306.3033448673587,53.175636363636364,34.58725490196078,24.574680851063828,12.067777777777778,1347.0276816608996,163.79123414071512,0.07199077277970012,,212.84099999999995,18.699999999999992,2.8860000000000006,2.1619999999999995,3052.714,32.300000000000004,270.11299999999994,2.4200000000000004,,,41.34000000000002,2.899999999999999,70.38999999999999,0.625,227393.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,395.0,351.0,1.77,1.573,34.0,0.152,0.0053,19.8,,0.0,0.0,2135.0,2685.0,,0.0,0.0,0.0,0.94,1.18,0.0,0.0,0.0,,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,227393.0,,,,
25%,,,,2021-02-26 06:00:00,1578.0,0.0,0.0,21.0,0.0,0.0,6972.644,0.0,0.0,92.792,0.0,0.0,0.1675,,,,,,,,,1307.75,385.25,5.86125,1.7269999999999999,52.5,0.2355,0.0112,52.0,,42689.0,33291.0,13080.5,26128.5,,16.0,18.77,14.64,5.755,11.4875,70.0,4.0,0.002,,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,227393.0,,,,
50%,,,,2022-04-20 12:00:00,5948.0,0.0,0.714,73.0,0.0,0.0,26282.184,0.0,3.156,322.562,0.0,0.0,0.49,,,,,,,,,2149.5,422.0,9.6345,1.891,58.0,0.26,0.0156,64.2,,103720.0,82256.0,47349.0,32393.0,,204.0,45.61,36.17,20.82,14.25,897.0,53.0,0.023,,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,227393.0,,,,
75%,,,,2023-06-12 18:00:00,6587.0,0.0,2.286,80.0,0.0,0.0,29105.707,0.0,10.1,353.493,0.0,0.0,0.87,,,,,,,,,3317.5,527.75,14.869250000000001,2.36525,68.0,0.305,0.0192,89.6,,220252.5,125856.5,101150.0,33060.0,,352.0,96.86,55.345,44.480000000000004,14.5375,1548.0,147.0,0.065,,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,227393.0,,,,
max,,,,2024-08-04 00:00:00,6771.0,832.0,118.857,80.0,7.0,1.0,29918.74,3676.324,525.189,353.493,30.931,4.419,2.15,,,,,,,,,4694.0,767.0,21.039,3.438,110.0,0.493,0.0504,188.8,,263863.0,140256.0,111986.0,34624.0,,2448.0,116.04,61.68,49.25,15.23,10766.0,1352.0,0.595,,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,227393.0,,,,
std,,,,,2542.978837783668,33.60538588413122,12.15282800288798,28.974876973827442,0.39887530314825204,0.1443146855263707,11236.556550505937,148.49073981204052,53.69944427117001,128.03018739854727,1.7625070906969482,0.6376186142530587,0.4476134592083635,,,,,,,,,1408.6302606117445,127.6063390971537,6.313636431478209,0.572057844783006,16.093445123231376,0.0722227984537255,0.01275256387181258,40.161121606400336,,88569.41464165259,45669.849726857276,40594.69347251756,10094.300897267485,,399.7185719277943,38.949764548503225,20.084607646496995,17.8524128013754,4.439902695748232,1757.8472437212072,260.19549679278947,0.11444916742378672,,5.686040479241703e-14,7.107550599052128e-15,4.44221912440758e-16,4.44221912440758e-16,0.0,7.107550599052128e-15,5.686040479241703e-14,4.44221912440758e-16,,,1.4215101198104257e-14,8.88443824881516e-16,1.4215101198104257e-14,0.0,0.0,,,,
