,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.0,843.0,843.0,843.0,836.0,836.0,836.0,834.0,843,370.0,242.0,242.0,113.0,349.0,839.0,370.0,242.0,242.0,113.0,839.0,667.0,667.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SAU,Asia,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,600431.7401433692,502.6696535244922,504.175570401438,7534.253882915174,5.7622461170848265,5.779479328939486,18661.232869175627,15.622820788530465,15.669665668064708,234.1623476702509,0.17909139784946237,0.17965967645296588,1.014609375,,,,,,,,,19450248.981020167,51306.50652431791,541.0301494661923,1.4271577698695137,51624.897129186604,1.4359976076555023,0.023204545454545457,200.38381294964026,,30832817.5027027,23039118.43801653,17741975.037190083,4052571.725663717,166363.5386819484,81506.61382598331,84.68486486486486,63.278595041322305,48.73,11.131238938053098,2238.8724672228846,17201.019490254872,0.04720989505247377,45.73825091575092,15.322,31.899999999999995,3.2950000000000013,1.8449999999999998,49045.411,,259.53799999999995,17.72,1.8000000000000005,25.4,,2.7,75.13,0.8539999999999998,36408824.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,,,,,,,,,160.0,160.0,0.004,0.004,1146.0,0.032,0.0,5.2,,137862.0,15894166.0,1445087.0,259772.0,5077.0,350.0,0.38,43.65,3.97,0.71,10.0,292.0,0.001,0.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,36408824.0,,,,
25%,,,,2021-02-26 06:00:00,374691.0,0.0,0.0,6457.0,0.0,0.0,11645.28,0.0,0.0,200.682,0.0,0.0,0.85,,,,,,,,,6710999.0,29152.5,186.67399999999998,0.811,31457.75,0.8755,0.0061,47.0,,12814468.75,21808569.5,13771080.25,366339.0,99812.0,18006.0,35.1925,59.9,37.822500000000005,1.01,495.0,2567.0,0.007,40.83,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,36408824.0,,,,
50%,,,,2022-04-20 12:00:00,752479.0,0.0,112.714,9068.0,0.0,1.714,23386.814,0.0,3.503,281.831,0.0,0.053,0.98,,,,,,,,,16774888.0,47732.0,466.612,1.328,48222.5,1.341,0.0109,90.55,,34286742.5,24118867.5,21271552.5,2696173.0,143846.0,18006.0,94.17500000000001,66.245,58.425,7.41,495.0,2567.0,0.007,53.7,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,36408824.0,,,,
75%,,,,2023-06-12 18:00:00,841469.0,0.0,531.286,9646.0,0.0,6.429,26152.596,0.0,16.512,299.795,0.0,0.2,1.13,,,,,,,,,31231560.0,62940.5,868.74,1.751,61885.75,1.72125,0.0213,162.45,,47233742.75,24982894.5,23119206.0,8066731.0,219683.0,134299.0,129.73,68.62,63.502500000000005,22.16,3688.5,14384.0,0.0395,57.41,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,36408824.0,,,,
max,,,,2024-08-04 00:00:00,841469.0,37866.0,5409.429,9646.0,347.0,49.571,26152.596,1176.864,168.123,299.795,10.785,1.541,2.2,,,,,,,,,43251385.0,212831.0,1203.085,5.92,185901.0,5.171,0.1938,2337.5,,68534631.0,27041364.0,25433941.0,10793985.0,511131.0,402957.0,188.24,74.27,69.86,29.65,11068.0,171173.0,0.47,94.44,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,36408824.0,,,,
std,,,,,275653.01061270735,2726.671645869075,920.4186302404366,3060.6103625669725,29.291936734427033,9.709706639826814,8567.210338810602,84.74411961934304,28.60632659479136,95.12290743086761,0.9103906365880341,0.3017966710108456,0.3136002332667904,,,,,,,,,14338085.353527306,33526.008988462,398.8296863075123,0.9325568955512319,32695.505204480804,0.9094663448031484,0.03518188841900436,305.5648175246184,,19258498.41728056,2699854.568635712,7049920.703547407,3928459.814980021,98996.58509042274,92666.80239139021,52.89509126879348,7.415306565603611,19.363121254856882,10.79018147708695,2545.0131853858006,32159.242437926012,0.08831271741995644,23.44317734115815,0.0,3.553775299526064e-15,1.332665737322274e-15,2.22110956220379e-16,0.0,,5.686040479241703e-14,0.0,4.44221912440758e-16,0.0,,0.0,0.0,2.22110956220379e-16,0.0,,,,
