,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1305,1305,1305,1305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1147.0,1147.0,1285.0,1285.0,0.0,0.0,919.0,919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,596.0,593.0,592.0,320.0,592.0,602.0,596.0,593.0,592.0,320.0,602.0,609.0,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,OWID_SCT,Europe,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1305,1305,1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2021-12-19 00:00:00,,,,,,,,,,,,,,36.11072362685266,6.606461203138624,787.0684824902723,143.99350661478599,,,588.6572361262241,107.69432535364527,,,,,,,,,,8567363.384228189,3746488.9865092747,3077327.1537162163,2992078.009375,21605.99831081081,21409.222591362126,156.73919463087248,68.54175379426643,56.29934121621623,54.739937499999996,3916.767441860465,7272.330049261083,0.13304597701149426,,,,,,,,,,,,,,,,5466000.0,,,,
min,,,,2020-03-07 00:00:00,,,,,,,,,,,,,,1.0,0.183,42.0,7.684,,,7.0,1.281,,,,,,,,,,166135.0,163377.0,2758.0,269326.0,5.0,829.0,3.04,2.99,0.05,4.93,152.0,67.0,0.001,,,,,,,,,,,,,,,,5466000.0,,,,
25%,,,,2021-01-27 00:00:00,,,,,,,,,,,,,,8.0,1.464,337.0,61.654,,,201.5,36.86450000000001,,,,,,,,,,5723611.75,3403866.0,2274467.0,3013681.75,5646.0,6503.0,104.7125,62.27,41.61,55.135,1190.0,609.0,0.011,,,,,,,,,,,,,,,,5466000.0,,,,
50%,,,,2021-12-19 00:00:00,,,,,,,,,,,,,,20.0,3.659,725.0,132.638,,,578.0,105.745,,,,,,,,,,9106577.0,4319877.0,3910679.0,3485602.0,18208.5,18852.5,166.60000000000002,79.03,71.545,63.769999999999996,3449.0,1876.0,0.034,,,,,,,,,,,,,,,,5466000.0,,,,
75%,,,,2022-11-10 00:00:00,,,,,,,,,,,,,,53.0,9.696,1107.0,202.525,,,861.0,157.519,,,,,,,,,,12312065.5,4489500.0,4185673.0,3564254.0,34448.75,34853.75,225.245,82.14,76.57249999999999,65.205,6376.5,12565.0,0.23,,,,,,,,,,,,,,,,5466000.0,,,,
max,,,,2023-10-02 00:00:00,,,,,,,,,,,,,,221.0,40.432,2406.0,440.176,,,1691.0,309.367,,,,,,,,,,13014285.0,4549556.0,4285946.0,3594835.0,277158.0,71226.0,238.1,83.23,78.41,65.77,13031.0,55481.0,1.015,,,,,,,,,,,,,,,,5466000.0,,,,
std,,,,,,,,,,,,,,,,,,39.78470570602038,7.278542025114944,521.4896094381736,95.40607816557343,,,415.5425083968275,76.02316501343407,,,,,,,,,,4051006.870809906,1131290.0164827693,1511626.8318509266,952072.749420093,20134.88471985604,16484.74715373024,74.11258450179136,20.69691437930822,27.655199320935424,17.418039526207316,3015.86526063184,10668.562463484472,0.195176357130257,,,,,,,,,,,,,,,,0.0,,,,
