,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1038.0,0.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,0.0,154.0,0.0,154.0,148.0,148.0,148.0,148.0,154,665.0,762.0,762.0,407.0,664.0,664.0,665.0,762.0,762.0,407.0,664.0,762.0,762.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SGP,Asia,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,1264971.1738351255,1795.7915173237755,1801.1713421210304,1000.5322580645161,1.2090800477897252,1.212715398442181,223893.22049283158,317.8456242532855,318.79784601557816,177.08896774193548,0.2140071684587814,0.2146428999400839,1.051936416184971,,,,,6.346153846153846,1.1257884615384615,267.2692307692308,47.41311538461538,,94795.45454545454,,17.382227272727274,93370.27027027027,17.120885135135136,0.10538986486486486,13.944594594594593,,9434198.206015037,4031822.496062992,3772771.5853018374,3184003.14004914,22179.219879518074,22170.932228915663,167.36118796992483,71.52392388451443,66.9284251968504,56.48395577395578,3933.0873493975905,6771.523622047244,0.12010498687664044,43.70851648351649,7915.731,42.399999999999984,12.922,7.049000000000002,85535.38300000002,,92.24299999999997,10.989999999999997,5.200000000000002,28.300000000000008,,2.399999999999999,83.62,0.938,5637022.0,3083.766627460416,5.1779166666666665,10.22,514.1549877875
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,,,,,0.0,0.0,20.0,3.548,,22400.0,,4.107,22400.0,4.107,0.0144,5.8,,567.0,539.0,37.0,1370.0,30.0,38.0,0.01,0.01,0.0,0.02,7.0,35.0,0.001,13.89,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,5637022.0,-31.200008,-0.13,-8.68,-5.251587
25%,,,,2021-02-26 06:00:00,59869.0,0.0,24.0,29.0,0.0,0.0,10596.497,0.0,4.248,5.133,0.0,0.0,0.83,,,,,2.0,0.355,122.75,21.7755,,27400.0,,5.024,27525.0,5.046749999999999,0.081175,7.275,,4670741.0,3857373.0,2228464.25,1963607.0,3762.0,5416.0,82.86,68.43,39.53,34.835,961.25,177.0,0.003,28.3575,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,5637022.0,199.29999750000002,0.715,1.335,33.68196075
50%,,,,2022-04-20 12:00:00,1160300.0,0.0,553.714,1316.0,0.0,0.0,205366.97,0.0,98.005,232.925,0.0,0.0,0.99,,,,,4.0,0.71,219.0,38.8505,,39950.0,,7.3255,39950.0,7.3255,0.1126,8.9,,10891278.0,4952220.5,4697448.5,3936853.0,16768.0,18039.5,193.21,87.85,83.33,69.84,3200.0,1266.0,0.0225,46.635000000000005,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,5637022.0,1848.45,5.695,10.765,310.224685
75%,,,,2023-06-12 18:00:00,2482839.0,0.0,2345.0,1841.0,0.0,1.0,439449.4,0.0,415.053,325.847,0.0,0.177,1.18,,,,,9.0,1.597,341.25,60.53725,,126000.0,,23.104,121675.0,22.31125,0.1379,12.325,,14317388.0,5128600.0,5078735.25,4315333.0,37177.0,36682.75,253.99,90.98,90.1,76.55,6507.25,7283.25,0.129,50.93,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,5637022.0,5880.6997,8.8225,16.3275,982.449865
max,,,,2024-08-04 00:00:00,3006155.0,128242.0,18320.286,2024.0,92.0,13.143,532073.56,22698.156,3242.594,358.237,16.284,2.326,2.31,,,,,32.0,5.677,965.0,171.19,,279300.0,,51.214,279300.0,51.214,0.1718,69.5,,14727569.0,5160551.0,5120969.0,4440289.0,83201.0,75745.0,261.27,91.55,90.85,78.77,13437.0,59894.0,1.063,82.41,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,5637022.0,9336.601,10.8,35.46,1552.2905
std,,,,,1192415.6342796132,8979.099343135198,2961.158767735657,844.0497710408202,7.48534419746327,2.6011923421016117,211051.2725339802,1589.2531840002912,524.1094599920978,149.39226530899109,1.3249059229509992,0.4604050538928721,0.32104399342164897,,,,,6.5615774507761415,1.163986057738387,210.89111728191943,37.41176002204667,,88616.61372208835,,16.249296744369328,86749.74761786453,15.906854187952572,0.04323644019257173,12.85302200513406,,5223524.420960928,1718668.5825903234,1820515.0739293902,1431877.7896001681,20500.770448528372,19603.53841001636,92.66455752187649,30.489128351886336,32.295874402623134,25.401402492756667,3477.6336701977557,11401.668263718837,0.20226859103329364,16.068222198382536,0.0,1.4215101198104257e-14,0.0,1.776887649763032e-15,1.455626362685876e-11,,2.8430202396208514e-14,3.553775299526064e-15,1.776887649763032e-15,7.107550599052128e-15,,8.88443824881516e-16,0.0,0.0,0.0,3209.786074021757,3.826704019450978,10.364761700414679,533.8003613782752
