,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52.0,53.0,50.0,11.0,0.0,693.0,52.0,53.0,50.0,11.0,693.0,693.0,693.0,0.0,1674.0,0.0,0.0,0.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SXM,North America,Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,6769.575866188769,6.606096832038254,6.625890287769785,62.73715651135006,0.054958183990442055,0.05514859197124026,160557.2622688172,156.67994739988046,157.14960131894483,1487.9671660692952,1.3034617682198326,1.3073433193529058,,,,,,,,,,,,,,,,,,,50265.846153846156,25319.396226415094,22340.34,8889.727272727272,,61.724386724386726,113.74384615384616,57.29433962264151,50.552600000000005,20.114545454545453,1396.8239538239538,22.167388167388168,0.050141414141414146,,1209.088,,,,36327.23200000001,,,,,,,,78.95000000000003,,44192.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,24634.0,14678.0,9956.0,8099.0,,7.0,55.74,33.21,22.53,18.33,158.0,0.0,0.0,,1209.088,,,,36327.232,,,,,,,,78.95,,44192.0,,,,
25%,,,,2021-02-26 06:00:00,2027.0,0.0,0.0,27.0,0.0,0.0,48075.33,0.0,0.0,640.372,0.0,0.0,,,,,,,,,,,,,,,,,,,46209.25,24545.0,21316.0,8831.5,,9.0,104.5675,55.54,48.2375,19.98,204.0,0.0,0.0,,1209.088,,,,36327.232,,,,,,,,78.95,,44192.0,,,,
50%,,,,2022-04-20 12:00:00,9873.0,0.0,1.143,86.0,0.0,0.0,234162.66,0.0,27.106,2039.703,0.0,0.0,,,,,,,,,,,,,,,,,,,50541.0,26343.0,24145.5,9010.0,,17.0,114.365,59.61,54.64,20.39,385.0,7.0,0.016,,1209.088,,,,36327.232,,,,,,,,78.95,,44192.0,,,,
75%,,,,2023-06-12 18:00:00,11051.0,0.0,6.286,92.0,0.0,0.0,262101.84,0.0,149.081,2182.008,0.0,0.0,,,,,,,,,,,,,,,,,,,60305.75,27743.0,25419.25,9045.0,,55.0,136.46,62.78,57.5225,20.465,1245.0,23.0,0.052,,1209.088,,,,36327.232,,,,,,,,78.95,,44192.0,,,,
max,,,,2024-08-04 00:00:00,11051.0,2137.0,305.286,92.0,9.0,1.286,262101.84,50684.246,7240.607,2182.008,213.457,30.494,,,,,,,,,,,,,,,,,,,66829.0,29788.0,26773.0,9146.0,,892.0,151.22,67.41,60.58,20.7,20185.0,219.0,0.496,,1209.088,,,,36327.232,,,,,,,,78.95,,44192.0,,,,
std,,,,,4635.4129357368765,63.458796006208665,23.223740416908797,33.52577359045738,0.448777210320018,0.16204410897934782,109940.30106015476,1505.0824719879324,550.8083922444691,795.146883695892,10.64382929909478,3.842676720758929,,,,,,,,,,,,,,,,,,,10940.16365147091,3751.6081697341815,4608.042820671577,294.6160521455309,,105.99897996744707,24.755326711706278,8.490546441922234,10.427135676117544,0.6659934479612193,2398.5659114126306,38.73182182181314,0.08764108478292558,,0.0,,,,7.27813181342938e-12,,,,,,,,2.8430202396208514e-14,,0.0,,,,
