,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1019.0,1107.0,1107.0,1112.0,1112.0,193.0,193.0,193.0,193.0,839.0,839.0,839.0,839.0,832.0,832.0,833.0,827.0,839,75.0,75.0,73.0,75.0,0.0,574.0,75.0,75.0,73.0,75.0,574.0,574.0,574.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SVK,Europe,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,1108636.3237753883,1121.8649940262844,1125.1945488316355,14093.251493428912,12.680406212664277,12.717877771120431,202557.4684366786,204.97446833930707,205.58280886758538,2574.9591827956992,2.316821385902031,2.3236632714200125,0.9855740922473013,135.08762420957544,23.937047877145435,1011.5764388489208,179.24772931654678,25.512953367875646,4.53040414507772,360.8911917098446,63.95081865284975,25021103.098927293,61070.89630512515,4593.032175208582,11.210573301549461,61575.872596153844,11.303258413461538,0.07366506602641057,118.11620314389359,,3934228.013333333,1956019.1733333333,1815571.0,266824.13333333336,,9996.98432055749,69.71333333333334,34.659866666666666,32.171369863013695,4.7276,1771.4128919860627,4494.796167247387,0.0796289198606272,39.12263736263737,113.128,41.199999999999996,15.069999999999995,9.167,30155.152,0.7,287.95899999999995,7.290000000000002,23.1,37.699999999999996,,5.82,77.53999999999999,0.8599999999999999,5643455.0,18358.67095770335,13.570717703349283,13.781291866028708,3243.4802008770334
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,0.177,1.0,0.177,0.0,0.0,1.0,0.184,378.0,24.0,0.069,0.004,82.0,0.015,0.0,2.9,,30160.0,30159.0,2839.0,1.0,,50.0,0.53,0.53,0.05,0.0,9.0,5.0,0.0,0.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455.0,-595.8,-5.78,-13.63,-109.18725
25%,,,,2021-02-26 06:00:00,292143.0,0.0,11.714,6505.0,0.0,0.0,53377.06,0.0,2.14,1188.52,0.0,0.0,0.76,18.0,3.19,170.75,30.2565,1.0,0.184,44.0,7.728,479677.0,3836.5,88.05250000000001,0.7044999999999999,3800.0,0.6975,0.008,9.45,,2192116.0,1472331.0,857375.0,7.5,,850.75,38.845,26.09,15.19,0.0,150.75,75.25,0.001,11.11,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455.0,5562.0996,10.17,-0.22,1021.0144
50%,,,,2022-04-20 12:00:00,1763995.0,0.0,84.286,19741.0,0.0,1.429,322297.2,0.0,15.4,3606.852,0.0,0.261,0.99,40.0,7.088,495.5,87.8005,5.0,0.92,191.0,33.856,34316365.0,21345.0,6299.329,3.918,28611.5,5.2524999999999995,0.035,27.8,,4728118.0,2444947.0,2375757.0,30.0,,5354.0,83.78,43.32,42.1,0.0,948.5,1900.5,0.0335,38.89,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455.0,24832.496,17.54,5.48,4443.6426
75%,,,,2023-06-12 18:00:00,1866857.0,0.0,818.429,21167.0,0.0,9.286,341090.97,0.0,149.534,3867.394,0.0,1.697,1.26,218.0,38.629,1628.0,288.4755,42.0,7.36,544.0,96.417,44547681.0,62183.0,8177.4545,11.415,58088.75,10.663499999999999,0.104,125.0,,5729065.5,2592950.0,2573257.0,666425.0,,15523.0,101.515,45.945,45.6,11.809999999999999,2751.0,6836.0,0.12075,59.025,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455.0,29406.693,20.02,18.21,5088.3257
max,,,,2024-08-04 00:00:00,1878002.0,124066.0,17723.714,21227.0,692.0,98.857,343127.25,22667.934,3238.276,3878.357,126.434,18.062,1.76,633.0,112.165,3958.0,701.343,151.0,26.68,1438.0,254.843,51238482.0,798187.0,9405.66,146.52,347269.0,63.747,0.34,1000.0,,5754313.0,2595901.0,2577827.0,684026.0,,35902.0,101.96,46.0,45.68,12.12,6362.0,23668.0,0.419,87.04,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455.0,30533.297,22.91,93.02,5343.658
