,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1025.0,1117.0,1117.0,1117.0,1117.0,158.0,158.0,162.0,162.0,854.0,854.0,854.0,854.0,865.0,865.0,848.0,838.0,872,539.0,538.0,531.0,354.0,525.0,556.0,539.0,538.0,531.0,354.0,556.0,555.0,555.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SVN,Europe,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,753711.0937873357,810.3835125448029,812.7352492510485,6135.794504181601,6.023297491039426,6.039303774715399,356325.83354420547,383.1183894862604,384.23021390053924,2900.7694605734764,2.8475913978494627,2.855188735769922,1.056146341463415,65.48522829006266,30.89153536257833,327.2533572068039,154.37621486123544,36.91139240506329,17.441873417721517,221.52469135802468,104.5104135802469,1519944.6381733022,6248.680327868852,717.1546135831383,2.9483149882903987,6157.209248554913,2.905134104046243,0.15721226415094344,48.01443914081146,,1830676.0371057515,888883.1617100372,805469.2354048964,355936.23728813557,5677.973333333333,5385.838129496403,86.35909090909091,41.93165427509294,37.99691148775894,16.790395480225985,2540.6762589928057,2277.0972972972972,0.1074126126126126,40.72986263736264,102.61899999999997,44.5,19.062000000000005,12.930000000000005,31400.840000000007,,153.49299999999997,7.25,20.099999999999998,25.0,,4.5,81.31999999999996,0.917,2119843.0,3806.254495191388,7.153779904306219,7.298851674641148,1795.6899549712919
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,5.0,2.359,0.0,0.0,0.0,0.0,2.0,2.0,0.001,0.001,1.0,0.0,0.0,1.3,,6199.0,6199.0,1.0,1.0,0.0,67.0,0.29,0.29,0.0,0.0,32.0,5.0,0.0,0.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,2119843.0,-337.6,-9.16,-16.27,-159.42215
25%,,,,2021-02-26 06:00:00,184998.0,0.0,14.429,4108.0,0.0,0.429,87459.99,0.0,6.821,1942.106,0.0,0.203,0.86,10.0,4.717,56.0,26.417,5.0,2.373,36.0,17.0845,203263.75,1342.0,95.90549999999999,0.633,1375.0,0.649,0.038,4.2,,799164.0,523982.75,303093.0,19842.0,428.0,1130.75,37.695,24.72,14.295000000000002,0.9325,533.25,113.0,0.0055,11.11,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,2119843.0,3114.2998,7.03,-3.93,1469.4197
50%,,,,2022-04-20 12:00:00,997973.0,0.0,190.429,7602.0,0.0,2.857,471803.53,0.0,90.027,3593.935,0.0,1.351,1.02,23.0,10.85,131.0,61.797,15.5,7.356,120.5,56.711,1148648.0,3386.0,541.9659999999999,1.5975000000000001,3845.0,1.814,0.142,6.9,,2053324.0,1153031.5,1025765.0,454289.0,3467.0,4864.0,96.86,54.39,48.39,21.43,2294.5,1145.0,0.054,43.025000000000006,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,2119843.0,5079.9,9.49,2.52,2396.3567
75%,,,,2023-06-12 18:00:00,1344465.0,0.0,1216.714,9406.0,0.0,7.143,635611.75,0.0,575.216,4446.798,0.0,3.377,1.27,120.0,56.608,528.0,249.075,61.75,29.304499999999997,325.75,153.64125,1887898.25,5762.75,890.7660000000001,2.719,5246.0,2.475,0.238,25.6,,2937619.0,1262095.75,1214428.0,639198.75,8537.0,7975.5,138.575,59.54,57.290000000000006,30.15,3762.0,3417.0,0.161,54.39,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,2119843.0,5722.401,10.87,11.44,2699.6519
max,,,,2024-08-04 00:00:00,1356582.0,98826.0,14118.0,10083.0,404.0,57.714,641340.2,46721.16,6674.451,4766.858,190.996,27.285,1.88,289.0,136.331,1324.0,624.575,162.0,76.405,912.0,430.433,5336373.0,130997.0,2517.858,61.808,104998.0,49.541,0.748,1000.0,,2996643.0,1265802.0,1222225.0,657967.0,36494.0,19121.0,141.36,59.71,57.66,31.04,9020.0,11155.0,0.526,89.81,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,2119843.0,6316.6,15.49,105.13,2979.9768
