,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,56.0,56.0,52.0,19.0,0.0,587.0,56.0,56.0,52.0,19.0,587.0,587.0,587.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SLB,Oceania,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,11824.897252090801,15.504181600955794,15.550627920910724,89.40023894862604,0.11887694145758662,0.119230677052127,15139.259326762243,19.84979689366786,19.909266626722587,114.45796475507765,0.15219713261648746,0.1526578789694428,0.32605797101449274,,,,,,,,,,,,,,,,,,251576.5,163076.05357142858,91649.67307692308,10012.736842105263,,1008.7529812606474,34.73553571428572,22.51517857142857,12.654230769230768,1.38,1392.7529812606474,566.0068143100511,0.07810902896081771,36.689670329670335,21.841,20.800000000000008,3.5070000000000006,2.0429999999999993,2205.9229999999993,25.1,459.77999999999986,18.680000000000003,,,35.88999999999999,1.4,73.0,0.5670000000000001,724272.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,0.0,0.0,3479.0,797.0,,28.0,0.0,0.0,0.48,0.11,39.0,0.0,0.0,0.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
25%,,,,2021-02-26 06:00:00,18.0,0.0,0.0,0.0,0.0,0.0,23.045,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,40143.75,29429.0,16829.5,2343.0,,348.0,5.5425,4.06,2.3200000000000003,0.32,480.0,125.0,0.017,25.31,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
50%,,,,2022-04-20 12:00:00,12285.0,0.0,0.0,139.0,0.0,0.0,15728.323,0.0,0.0,177.96,0.0,0.0,0.05,,,,,,,,,,,,,,,,,,251445.0,188142.5,73380.0,2343.0,,786.0,34.715,25.975,10.135000000000002,0.32,1085.0,341.0,0.047,33.33,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
75%,,,,2023-06-12 18:00:00,21611.0,0.0,0.0,153.0,0.0,0.0,27668.277,0.0,0.0,195.884,0.0,0.0,0.57,,,,,,,,,,,,,,,,,,438509.5,283298.0,167979.0,17987.0,,1442.0,60.542500000000004,39.11,23.1925,2.48,1990.5,909.5,0.126,38.89,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
max,,,,2024-08-04 00:00:00,25954.0,4343.0,620.429,199.0,46.0,6.571,33228.562,5560.286,794.327,254.777,58.893,8.413,1.35,,,,,,,,,,,,,,,,,,625956.0,343821.0,254352.0,27783.0,,11404.0,86.43,47.47,35.12,3.84,15745.0,4596.0,0.635,86.66,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
std,,,,,11357.966351015457,175.20633633896537,64.73765534365026,84.62445374059,1.6813280494752196,0.6267438913856994,14541.453758313115,224.31435531739075,82.88278272769358,108.34357628155412,2.1525820121786188,0.8024352651183585,0.44062204589337856,,,,,,,,,,,,,,,,,,196428.83335739042,115554.59322044508,77226.543492715,9108.803890511062,,1003.6071709356124,27.121335038180675,15.9543356308584,10.663251784158902,1.257828817181946,1385.6735090525121,618.8528553774121,0.08545107198462572,18.912677780423902,0.0,7.107550599052128e-15,4.44221912440758e-16,8.88443824881516e-16,4.548832383393362e-13,0.0,1.1372080958483405e-13,3.553775299526064e-15,,,7.107550599052128e-15,0.0,0.0,1.110554781101895e-16,0.0,,,,
