,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1047.0,1066.0,1066.0,134.0,134.0,71.0,71.0,471.0,471.0,859.0,859.0,859.0,859.0,852.0,852.0,852.0,852.0,859,654.0,820.0,820.0,654.0,652.0,654.0,654.0,820.0,820.0,654.0,654.0,819.0,819.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,196.0,196.0,196.0,196.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,KOR,Asia,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,15327145.133213859,20652.253882915174,20714.124026363093,17548.545997610512,21.46594982078853,21.530259436788494,295990.75116308243,398.8267933094384,400.0216015578191,338.88943369175627,0.41454002389486266,0.41579328939484717,1.0726456542502387,307.31519699812384,5.9309240150093805,3510.0522388059703,67.7409328358209,382.6619718309859,7.385042253521126,3514.615711252654,67.8290212314225,24124226.941792782,116728.1164144354,465.4478568102445,2.2521175785797443,117250.42840375587,2.2621924882629108,0.06069307511737089,117.80093896713615,,83328169.44801223,35982090.49878049,33405520.036585364,19590581.896024466,198743.07668711655,198192.35321100918,160.81634556574923,69.4424756097561,64.46963414634148,37.80788990825688,3824.9250764525996,54662.8717948718,0.10542368742368742,40.90031135531135,527.9669999999998,43.399999999999984,13.913999999999996,8.622,35938.37400000001,0.2,85.99800000000003,6.799999999999998,6.200000000000002,40.899999999999984,,12.27,83.02999999999999,0.9160000000000003,51815808.0,25250.166977005105,2.5617857142857146,7.228469387755102,487.4889547207143
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,8.0,0.154,340.0,6.562,42.0,0.811,256.0,4.941,745.0,427.0,0.014,0.008,778.0,0.015,0.0005,1.5,,50357.0,39176.0,11394.0,2.0,34.0,1554.0,0.1,0.08,0.02,0.0,30.0,17.0,0.0,0.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,51815808.0,-4078.1995,-1.19,-9.37,-78.683945
25%,,,,2021-02-26 06:00:00,87317.0,0.0,33.143,1557.0,0.0,0.0,1686.226,0.0,0.64,30.068,0.0,0.0,0.85,101.25,1.9540000000000002,1381.5,26.66175,218.5,4.2165,937.5,18.093,2089560.5,13109.0,40.3155,0.253,11964.75,0.231,0.007775,42.525,,28057007.0,36369015.0,22080671.0,261.5,11821.0,23556.25,54.1475,70.19,42.6175,0.0,454.5,208.5,0.0,13.89,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,51815808.0,-929.2000250000001,-0.4925,0.31,-17.922762249999998
50%,,,,2022-04-20 12:00:00,16353436.0,0.0,692.0,21224.0,0.0,4.429,315809.97,0.0,13.364,409.868,0.0,0.086,1.03,242.0,4.67,2148.0,41.454499999999996,339.0,6.542,1766.0,34.082,11555337.0,72452.0,222.946,1.398,68252.5,1.317,0.0115,86.8,,111029946.0,44661685.5,44190719.0,24162261.5,61379.5,87874.5,214.28,86.19,85.285,46.63,1696.0,1720.0,0.003,46.245000000000005,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,51815808.0,2838.4006,0.72,4.1,54.7635195
75%,,,,2023-06-12 18:00:00,31883597.0,0.0,16259.857,34893.0,0.0,19.143,615721.4,0.0,314.003,673.838,0.0,0.37,1.2,420.75,8.12025,3249.5,62.71225,474.0,9.148,4594.0,88.6605,35141701.0,149701.5,678.0165,2.888,140602.75,2.7125,0.023525,127.975,,126044695.25,44756421.25,44338474.75,37826945.5,269593.0,318351.75,243.2575,86.38,85.57,73.0025,6143.75,41177.5,0.0795,53.24,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,51815808.0,55793.174499999994,6.4025,10.6325,1076.7597
max,,,,2024-08-04 00:00:00,34571873.0,2716348.0,388049.714,35934.0,2429.0,347.0,667636.06,52456.86,7493.837,693.941,46.908,6.701,5.87,1315.0,25.378,22810.0,440.213,1093.0,21.094,13496.0,260.461,100269452.0,1154325.0,1934.578,22.271,874244.0,16.867,0.6691,1867.1,,129647782.0,44784499.0,44372679.0,41325954.0,1382042.0,881020.0,250.21,86.43,85.64,79.76,17003.0,601038.0,1.16,82.41,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,51815808.0,85449.89,7.32,72.1,1650.1195
std,,,,,15200491.452979594,146496.9184102621,52028.0203206344,15641.83885312363,142.43124317075043,50.090062414800634,293544.8748061365,2829.080896450266,1004.7411005905442,302.06803416644107,2.7505602146132033,0.96729754996628,0.4180945252724991,276.5472836389524,5.337108580921836,4889.432644358316,94.36180445459797,246.1362540000948,4.750246653555761,3670.752642240905,70.84231204832844,29498573.876499478,166153.4549854215,569.1394118614969,3.2057174976860257,158001.8166464478,3.0484379884984114,0.1364873233489135,161.77297790374593,,49126393.928253755,15091677.4369407,17050292.58869477,18074410.509567287,283735.67029262066,229354.69108325418,94.80973940967742,29.12554943068386,32.90551172958552,34.882162619992265,4426.326953482446,116093.1131954862,0.22406778898192153,19.340897315719683,2.274416191696681e-13,1.4215101198104257e-14,3.553775299526064e-15,0.0,7.27813181342938e-12,0.0,2.8430202396208514e-14,1.776887649763032e-15,1.776887649763032e-15,1.4215101198104257e-14,,0.0,1.4215101198104257e-14,2.22110956220379e-16,0.0,31667.91102410439,3.3525006931298162,12.383440916290722,611.4429515164817
