,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840.0,840.0,840.0,840.0,841.0,841.0,839.0,826.0,848,388.0,384.0,319.0,122.0,335.0,640.0,388.0,384.0,319.0,122.0,640.0,640.0,640.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,LKA,Asia,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,440901.10931899643,401.910394265233,403.1139089275015,10684.748506571088,10.099761051373955,10.130069502696227,19308.158750298684,17.600659498207882,17.653374475733973,467.9118070489845,0.44230107526881723,0.44364649490713,0.9871104536489151,,,,,,,,,3318214.3,9156.005952380952,152.3973357142857,0.42051547619047613,9141.196195005945,0.41983709869203334,0.05856126340882002,55.9727602905569,,19785007.99742268,10152004.557291666,9428552.545454545,5769915.836065574,100266.42686567164,62715.79375,90.62324742268041,46.500364583333344,43.186645768025066,26.42827868852459,2872.6171875,26860.4859375,0.12303593750000001,51.40428571428572,341.9549999999999,34.10000000000001,10.069,5.331,11669.077000000001,0.7,197.093,10.680000000000001,0.2999999999999999,27.0,,3.600000000000001,76.98000000000002,0.782,21832150.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.4,,0.0,0.0,5880.0,1081303.0,151.0,109.0,0.0,0.0,0.03,4.95,5.0,0.0,0.0,0.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,21832150.0,,,,
25%,,,,2021-02-26 06:00:00,79999.0,0.0,1.143,445.0,0.0,0.0,3503.356,0.0,0.05,19.488,0.0,0.0,0.83,,,,,,,,,270531.5,1781.25,12.425,0.082,1868.0,0.086,0.017349999999999997,11.8,,2098566.5,1670801.0,1844652.5,4323042.5,18871.0,4345.5,9.612499999999999,7.655,8.45,19.7975,199.0,452.75,0.002,30.56,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,21832150.0,,,,
50%,,,,2022-04-20 12:00:00,662864.0,0.0,10.857,16496.0,0.0,0.286,29028.467,0.0,0.475,722.401,0.0,0.013,0.98,,,,,,,,,2594908.0,9226.5,119.17750000000001,0.424,9817.0,0.451,0.0458,21.65,,24835002.0,13854965.5,13126455.0,6086185.5,55395.0,20233.0,113.755,63.46,60.12,27.875,927.0,3874.0,0.018,50.99,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,21832150.0,,,,
75%,,,,2023-06-12 18:00:00,672514.0,0.0,479.714,16876.0,0.0,4.0,29451.064,0.0,21.008,739.042,0.0,0.175,1.12,,,,,,,,,6190459.0,13673.5,284.31225,0.628,13789.0,0.633,0.08465,55.475,,33928085.25,15995038.0,13882223.0,7642165.0,136881.0,81764.0,155.405,73.2625,63.585,35.002500000000005,3744.75,28269.75,0.12925,79.17,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,21832150.0,,,,
max,,,,2024-08-04 00:00:00,672798.0,41519.0,5931.286,16907.0,1409.0,201.286,29463.502,1818.22,259.746,740.4,61.704,8.815,1.65,,,,,,,,,7691045.0,28727.0,353.231,1.319,25735.0,1.182,0.2985,825.0,,40116590.0,17143761.0,14752827.0,8220002.0,1085196.0,475620.0,183.75,78.53,67.57,37.65,21785.0,420233.0,1.925,100.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,21832150.0,,,,
