,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,42.0,39.0,33.0,14.0,3.0,753.0,42.0,39.0,33.0,14.0,753.0,753.0,753.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SDN,Africa,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,45242.37096774193,38.227598566308245,38.34210784901138,3445.521505376344,3.014336917562724,3.023396045536249,916.146402628435,0.7740925925925927,0.7764170161773517,69.77083632019117,0.06103046594982079,0.06123427201917315,0.8305578093306287,,,,,,,,,562941.0,,12.33,,,,,,,4865103.642857143,3655062.8205128205,3179495.5454545454,954415.0,15190.666666666666,29434.51394422311,10.378809523809526,7.797179487179487,6.783030303030303,2.0364285714285715,627.8738379814077,19835.35192563081,0.04246613545816733,29.554221611721616,23.258000000000003,19.699999999999992,3.5480000000000014,2.033999999999999,4466.506999999998,,431.388,15.669999999999996,,,23.43700000000001,0.8,65.30999999999999,0.5099999999999999,46874200.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,,,,,,,,,562941.0,,12.33,,,,,,,0.0,0.0,37931.0,23801.0,6534.0,605.0,0.0,0.0,0.08,0.05,13.0,16.0,0.0,0.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,46874200.0,,,,
25%,,,,2021-02-26 06:00:00,30205.0,0.0,0.0,1871.0,0.0,0.0,611.644,0.0,0.0,37.887,0.0,0.0,0.7,,,,,,,,,562941.0,,12.33,,,,,,,640124.75,487309.0,182727.0,38261.0,12428.5,6979.0,1.3625,1.04,0.39,0.08,149.0,4112.0,0.009,8.33,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,46874200.0,,,,
50%,,,,2022-04-20 12:00:00,62079.0,0.0,5.0,4929.0,0.0,0.143,1257.084,0.0,0.101,99.811,0.0,0.003,0.79,,,,,,,,,562941.0,,12.33,,,,,,,1579824.0,649062.0,1436636.0,50234.0,18323.0,21294.0,3.37,1.38,3.06,0.11,454.0,15246.0,0.033,13.89,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,46874200.0,,,,
75%,,,,2023-06-12 18:00:00,63993.0,0.0,43.429,5046.0,0.0,3.143,1295.842,0.0,0.879,102.18,0.0,0.064,0.96,,,,,,,,,562941.0,,12.33,,,,,,,7065296.5,5792507.0,3631390.0,1896598.5,19519.0,33000.0,15.07,12.355,7.75,4.0475,704.0,22872.0,0.049,52.3125,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,46874200.0,,,,
max,,,,2024-08-04 00:00:00,63993.0,3724.0,532.0,5046.0,957.0,136.714,1295.842,75.41,10.773,102.18,19.379,2.768,1.42,,,,,,,,,562941.0,,12.33,,,,,,,22598737.0,15207452.0,13416394.0,3891363.0,20715.0,159116.0,48.21,32.44,28.62,8.3,3395.0,151710.0,0.324,87.04,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,46874200.0,,,,
std,,,,,22752.86915712891,217.79759996765665,74.40006328471057,1852.4136403930013,27.32717421607969,9.957794643584355,460.73980238700267,4.410347307499984,1.50656614730621,37.5108373139645,0.5533648672420487,0.20163041283764568,0.20919617297328402,,,,,,,,,,,,,,,,,,5960774.282101421,4360573.540874742,3765903.202674991,1349223.3475847675,7591.6944309774035,32911.52742488515,12.716261569513946,9.302730201600962,8.034275591508113,2.8786417928301837,702.1470293444944,23785.479444203167,0.0506786048804152,27.281621991314335,3.553775299526064e-15,7.107550599052128e-15,1.332665737322274e-15,8.88443824881516e-16,1.819532953357345e-12,,0.0,3.553775299526064e-15,,,7.107550599052128e-15,0.0,1.4215101198104257e-14,1.110554781101895e-16,0.0,,,,
