,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1033.0,1128.0,1128.0,1128.0,1128.0,0.0,0.0,1037.0,1037.0,759.0,759.0,759.0,759.0,752.0,752.0,759.0,759.0,759,893.0,893.0,0.0,883.0,861.0,924.0,893.0,893.0,0.0,883.0,924.0,924.0,924.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,CHE,Europe,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,2493437.4557945044,2663.0035842293905,2670.762656680647,10398.584826762246,8.464755077658303,8.490094068304375,283597.18071505375,302.8831959378733,303.7656704613541,1182.7082915173237,0.9627598566308243,0.9655889754343919,1.1095353339787029,132.28546099290782,15.134816489361702,913.5168439716313,104.51574290780144,,,429.1485053037608,49.09900289296047,8573799.357048748,28033.90513833992,986.4686389986824,3.225467720685112,28243.872340425532,3.2496382978723406,0.13773913043478261,26.585902503293802,,12047354.257558791,4938510.0806271,,2530319.839184598,19632.499419279906,18334.58116883117,137.83409854423292,56.50150055991041,,28.9489241223103,2097.6796536796537,6598.872294372294,0.07545995670995671,36.491236263736255,214.24299999999997,43.100000000000016,18.436000000000003,12.644000000000002,57410.16599999998,,99.739,5.590000000000001,22.6,28.899999999999995,,4.530000000000001,83.77999999999999,0.955,8740471.0,10280.112843062201,6.081148325358852,7.679377990430623,1174.523729311005
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,9.0,1.03,58.0,6.636,,,4.0,0.458,2512.0,1529.0,0.289,0.176,3256.0,0.375,0.004,1.9,,1.0,1.0,,1.0,1.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471.0,-1210.0,-11.81,-16.86,-140.06885
25%,,,,2021-02-26 06:00:00,547436.0,0.0,89.286,9561.0,0.0,0.286,62263.965,0.0,10.155,1087.444,0.0,0.032,0.91,32.0,3.661,366.0,41.874,,,158.0,18.077,2352104.5,11121.5,270.624,1.2795,13061.5,1.5025,0.038,5.2,,9047451.0,4736797.0,,254.5,1117.0,1229.0,103.51,54.19,,0.0,140.75,28.0,0.0,11.11,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471.0,7977.799,7.17,-1.46,917.8948
50%,,,,2022-04-20 12:00:00,3576026.0,0.0,507.429,13194.0,0.0,1.714,406728.03,0.0,57.714,1500.652,0.0,0.195,1.12,66.0,7.551,764.0,87.40950000000001,,,339.0,38.785,7439565.0,24712.0,855.968,2.843,24642.0,2.8355,0.085,11.8,,15603653.0,6076174.0,,3679199.0,6005.0,6371.0,178.52,69.52,,42.09,729.0,125.0,0.001,44.44,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471.0,11228.698,7.51,3.73,1284.6788
75%,,,,2023-06-12 18:00:00,4406328.0,0.0,2567.143,14037.0,0.0,6.571,501164.44,0.0,291.98,1596.532,0.0,0.747,1.22,200.25,22.9105,1216.5,139.18025,,,562.0,64.299,13236082.5,34502.0,1522.8935000000001,3.9699999999999998,33832.5,3.893,0.1935,26.3,,16434003.0,6093805.0,,4486808.0,26841.0,23813.5,188.02,69.72,,51.335,2724.25,9040.25,0.10325,52.78,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471.0,16962.2,8.0,12.98,1928.2521
max,,,,2024-08-04 00:00:00,4457868.0,248789.0,35541.286,14170.0,635.0,90.714,507026.47,28296.623,4042.375,1611.659,72.223,10.318,2.86,534.0,61.095,3716.0,425.149,,,1747.0,199.875,21277734.0,125737.0,2448.135,14.467,101602.0,11.69,0.522,250.0,,16940716.0,6096911.0,,4885838.0,113605.0,92595.0,193.82,69.75,,55.9,10594.0,51131.0,0.585,73.15,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471.0,20574.496,12.79,67.2,2338.8958
