,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,81.0,81.0,81.0,81.0,88,51.0,46.0,44.0,19.0,2.0,778.0,51.0,46.0,44.0,19.0,778.0,778.0,778.0,1092.0,0.0,1674.0,0.0,1674.0,0.0,0.0,1674.0,0.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SYR,Asia,Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,38528.40262843489,34.30286738351254,34.4056542840024,2195.89605734767,1.8894862604540024,1.8951629718394247,1715.2575388291516,1.527140979689367,1.5317207908927502,97.75996535244924,0.08412066905615291,0.08437327741162372,0.9767752100840337,,,,,,,,,165124.5,,7.743375,,230.09876543209876,0.010567901234567901,0.07827901234567902,47.98148148148148,,2745881.9215686275,1858098.391304348,1295338.8181818181,40838.05263157895,51211.5,6538.452442159383,12.410588235294119,8.39804347826087,5.854545454545455,0.1836842105263158,295.5848329048843,4232.6863753213365,0.019087403598971726,37.64978937728938,,21.699999999999992,,2.5769999999999995,,,376.26400000000007,,,,70.59799999999998,1.5,72.70000000000003,0.5670000000000001,22125242.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,,,,,,,,,156185.0,,7.324,,71.0,0.003,0.0052,1.9,,0.0,0.0,5957.0,1417.0,30134.0,66.0,0.0,0.0,0.03,0.01,3.0,56.0,0.0,0.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,22125242.0,,,,
25%,,,,2021-02-26 06:00:00,15143.0,0.0,0.0,996.0,0.0,0.0,674.156,0.0,0.0,44.341,0.0,0.0,0.81,,,,,,,,,162869.25,,7.6377500000000005,,146.0,0.007,0.0168,15.7,,1051134.0,827964.5,771905.75,26226.5,40672.75,1298.0,4.755,3.7424999999999997,3.4875,0.11499999999999999,59.0,933.0,0.004,26.85,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,22125242.0,,,,
50%,,,,2022-04-20 12:00:00,55769.0,0.0,1.714,3149.0,0.0,0.0,2482.797,0.0,0.076,140.191,0.0,0.0,0.97,,,,,,,,,165742.0,,7.772500000000001,,221.0,0.01,0.0395,25.3,,3358229.0,2331038.5,1385198.0,34606.0,51211.5,2833.5,15.18,10.54,6.26,0.16,128.0,1972.0,0.009,35.65,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,22125242.0,,,,
75%,,,,2023-06-12 18:00:00,57423.0,0.0,51.286,3163.0,0.0,3.143,2556.432,0.0,2.283,140.815,0.0,0.14,1.14,,,,,,,,,167187.25,,7.84,,221.0,0.01,0.0635,59.5,,4152142.0,2735138.0,1833221.75,54073.0,61750.25,7403.0,18.765,12.36,8.29,0.245,335.0,4783.0,0.022,47.69,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,22125242.0,,,,
max,,,,2024-08-04 00:00:00,57423.0,2517.0,359.571,3163.0,101.0,14.429,2556.432,112.055,16.008,140.815,4.496,0.642,1.68,,,,,,,,,175957.0,,8.251,,855.0,0.04,0.5305,193.4,,5090630.0,3295630.0,2358365.0,75881.0,72289.0,90157.0,23.01,14.9,10.66,0.34,4075.0,26164.0,0.118,87.04,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,22125242.0,,,,
