,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1348,1348,1348,1348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.0,888.0,888.0,888.0,882.0,882.0,875.0,854.0,889,584.0,579.0,513.0,375.0,467.0,917.0,584.0,579.0,513.0,375.0,917.0,917.0,917.0,1081.0,0.0,1348.0,0.0,1348.0,0.0,0.0,1348.0,0.0,0.0,0.0,0.0,0.0,1348.0,0.0,1348.0,44.0,44.0,44.0,44.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,TWN,Asia,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1348,1348,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2021-11-19 12:00:00,,,,,,,,,,,,,0.9938039215686274,,,,,,,,,2299945.302927928,14663.875,96.39370608108109,0.6145822072072072,14537.615646258504,0.6092936507936507,0.047144,712.3379391100702,,39479326.35273973,16010564.571675302,14972792.81871345,16221289.792,109593.56959314775,74332.58451472192,165.23099315068492,67.00806563039724,62.66481481481481,67.89026666666666,3111.0043620501638,23886.685932388224,0.09996837513631406,30.159500462534695,,42.199999999999996,,8.352999999999998,,,103.957,,,,,,80.46000000000001,,23893396.0,4545.435931818182,-0.22113636363636388,5.451363636363637,189.76680856818177
min,,,,2020-01-16 00:00:00,,,,,,,,,,,,,0.08,,,,,,,,,4.0,1.0,0.0,0.0,19.0,0.001,0.0,1.2,,0.0,0.0,24076.0,63.0,22.0,323.0,0.0,0.0,0.1,0.0,14.0,29.0,0.0,8.33,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,-7299.2,-5.91,-9.72,-305.9191
25%,,,,2020-12-17 18:00:00,,,,,,,,,,,,,0.84,,,,,,,,,86550.5,275.0,3.62725,0.012,311.25,0.013,0.0011,139.025,,12657486.5,11641399.0,10970839.0,12276705.0,27133.0,10697.0,52.9775,48.72,45.92,51.379999999999995,448.0,541.0,0.002,23.15,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,-4760.3503,-2.775,-2.2675,-199.75308
50%,,,,2021-11-19 12:00:00,,,,,,,,,,,,,0.995,,,,,,,,,191800.5,1093.5,8.038499999999999,0.046,1050.0,0.044,0.0033,289.5,,49195169.5,19438065.0,18729594.0,18324892.0,63668.0,42188.0,205.89499999999998,81.35,78.39,76.69,1766.0,3901.0,0.016,25.0,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,-3166.2003,-1.08,1.73,-132.797945
75%,,,,2022-10-22 06:00:00,,,,,,,,,,,,,1.16,,,,,,,,,4204090.0,22004.0,176.199,0.92225,21228.75,0.89,0.0071,759.55,,61245638.5,21649621.0,20374167.0,21322978.0,159637.5,95016.0,256.33000000000004,90.61,85.27,89.245,3977.0,18924.0,0.079,27.78,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,12946.17475,2.5749999999999997,14.6725,541.830625
max,,,,2023-09-24 00:00:00,,,,,,,,,,,,,2.14,,,,,,,,,13021521.0,117351.0,545.749,4.918,105353.0,4.415,0.8394,4738.9,,68158988.0,21899240.0,20793089.0,25466659.0,500423.0,585216.0,285.26,91.65,87.02,106.58,24493.0,232198.0,0.972,76.85,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,36039.402,5.37,43.64,1506.4579
std,,,,,,,,,,,,,,,,,0.38490869236305597,,,,,,,,,3181895.463802948,22380.408146904123,133.35737708234282,0.937981584085963,21794.887977947656,0.9134456519543372,0.1709392023143663,960.7620187799355,,24532826.630740482,7576569.791551209,7485187.665762027,7255148.440642528,113335.77335734505,89086.33827840538,102.67648458047448,31.71005690714712,31.32732910483421,30.36471585430458,3728.498736420849,47088.19694060722,0.1970839271130121,14.31436175761983,,7.108064369143856e-15,,1.777016092285964e-15,,,0.0,,,,,,1.4216128738287712e-14,,0.0,13469.992669689433,3.1445406481629807,10.917233355743717,563.3707158492969
