,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,65.0,64.0,60.0,14.0,2.0,960.0,65.0,64.0,60.0,14.0,960.0,960.0,960.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,36.0,36.0,36.0,36.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,TJK,Asia,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,14550.6660692951,10.624850657108722,10.656688436189334,103.32676224611708,0.07467144563918758,0.07492810065907728,1429.025681600956,1.043468936678614,1.046577591372079,10.147552568697728,0.007328554360812424,0.007348112642300781,0.38247687564234323,,,,,,,,,,,,,,,,,,5307817.015384615,2482616.671875,2115499.566666667,2784408.0714285714,62372.5,21354.159375,53.33015384615385,24.9440625,21.256000000000004,27.97714285714286,2145.4729166666666,5480.014583333334,0.055112499999999995,27.98190476190476,64.28099999999998,23.300000000000008,3.4660000000000006,2.1550000000000002,2896.913,4.799999999999998,427.69800000000004,7.11,,,72.70399999999998,4.799999999999998,71.10000000000001,0.6679999999999999,9952789.0,10997.366430555556,21.573888888888888,16.185555555555556,1120.3310971111111
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,,,,,,,,,,,,,,,,,,69229.0,69229.0,12399.0,2386.0,11480.0,210.0,0.7,0.7,0.12,0.02,21.0,0.0,0.0,0.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,9952789.0,211.1,5.86,-14.81,22.120438
25%,,,,2021-02-26 06:00:00,13714.0,0.0,0.0,91.0,0.0,0.0,1346.856,0.0,0.0,8.937,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,452362.0,428751.5,37718.5,1360010.75,36926.25,2980.0,4.55,4.3075,0.38249999999999995,13.6675,299.0,90.0,0.001,11.11,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,9952789.0,7932.224999999999,18.185,-3.5275,831.190325
50%,,,,2022-04-20 12:00:00,17786.0,0.0,0.0,125.0,0.0,0.0,1746.769,0.0,0.0,12.276,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,4139385.0,2352921.5,1955381.5,2234020.0,62372.5,16843.0,41.59,23.64,19.65,22.45,1692.0,277.0,0.003,32.41,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,9952789.0,12188.2495,22.735,3.26,1250.06685
75%,,,,2023-06-12 18:00:00,17786.0,0.0,0.143,125.0,0.0,0.0,1746.769,0.0,0.014,12.276,0.0,0.0,0.93,,,,,,,,,,,,,,,,,,8305260.0,4557153.0,3930727.75,4692544.5,87818.75,34216.75,83.45,45.785,39.4925,47.1525,3438.0,6653.5,0.067,41.900000000000006,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,9952789.0,15642.32475,26.21,14.6525,1571.65245
max,,,,2024-08-04 00:00:00,17786.0,1416.0,202.286,125.0,20.0,2.857,1746.769,139.066,19.867,12.276,1.964,0.281,2.76,,,,,,,,,,,,,,,,,,20568163.0,5328277.0,5191919.0,5322496.0,113265.0,88171.0,206.66,53.54,52.17,53.48,8859.0,80688.0,0.811,69.44,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,9952789.0,16871.7,33.5,127.7,1730.4169
