,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,22.0,22.0,22.0,20.0,29,36.0,33.0,36.0,1.0,0.0,581.0,36.0,33.0,36.0,1.0,581.0,581.0,581.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,TZA,Africa,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,25383.257467144565,25.82437275985663,25.901732174955065,541.6756272401434,0.5053763440860215,0.5068981426003595,392.2508422939068,0.3990698924731183,0.4002498502097064,8.370639187574675,0.007808243727598566,0.007838825644098263,0.16175757575757574,,,,,,,,,441724.5,,6.947,,1004.0,0.016,0.03991818181818182,29.884999999999998,,15923514.055555556,14565393.303030303,12062564.972222222,7171363.0,,67337.17555938038,24.31083333333333,22.23787878787879,18.41638888888889,10.95,1028.0550774526678,58804.42512908778,0.08974870912220309,15.010943223443224,64.69899999999997,17.699999999999996,3.1079999999999997,1.874,2683.3040000000005,49.100000000000016,217.28799999999998,5.75,3.2999999999999994,26.699999999999992,47.95299999999999,0.7,65.46000000000001,0.529,65497752.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,427673.0,,6.726,,1004.0,0.016,0.0,8.4,,105745.0,105745.0,105745.0,7171363.0,,0.0,0.16,0.16,0.16,10.95,0.0,0.0,0.0,0.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
25%,,,,2021-02-26 06:00:00,509.0,0.0,0.0,21.0,0.0,0.0,7.866,0.0,0.0,0.325,0.0,0.0,0.01,,,,,,,,,434698.75,,6.8365,,1004.0,0.016,0.0293,22.525,,3028004.75,3595010.0,2247807.5,7171363.0,,17859.0,4.625,5.49,3.435,10.95,273.0,14452.0,0.022,8.33,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
50%,,,,2022-04-20 12:00:00,33864.0,0.0,0.0,803.0,0.0,0.0,523.305,0.0,0.0,12.409,0.0,0.0,0.11,,,,,,,,,441724.5,,6.947,,1004.0,0.016,0.036699999999999997,22.7,,13662664.5,13445924.0,9008817.0,7171363.0,,36789.0,20.855,20.53,13.754999999999999,10.95,562.0,38736.0,0.059,11.11,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
75%,,,,2023-06-12 18:00:00,43078.0,0.0,10.143,846.0,0.0,0.0,665.69,0.0,0.157,13.073,0.0,0.0,0.3,,,,,,,,,448750.25,,7.0575,,1004.0,0.016,0.0441,34.1,,26674475.75,23687636.0,20389335.75,7171363.0,,85950.0,40.7225,36.17,31.13,10.95,1312.0,74768.0,0.114,17.59,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
max,,,,2024-08-04 00:00:00,43230.0,20607.0,2943.857,846.0,553.0,79.0,668.039,318.443,45.492,13.073,8.546,1.221,0.5,,,,,,,,,455776.0,,7.168,,1004.0,0.016,0.1191,62.2,,39392419.0,34434933.0,32165791.0,7171363.0,,263699.0,60.14,52.57,49.11,10.95,4026.0,260678.0,0.398,52.78,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
