,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1675,1675,1675,1675,1674.0,1673.0,1668.0,1674.0,1673.0,1668.0,1674.0,1673.0,1668.0,1674.0,1673.0,1668.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,882.0,882.0,882.0,876.0,876.0,857.0,856.0,883,535.0,535.0,530.0,406.0,520.0,580.0,535.0,535.0,530.0,406.0,580.0,580.0,580.0,1093.0,1675.0,1675.0,1675.0,1675.0,1675.0,1675.0,1675.0,1675.0,1675.0,1675.0,1675.0,1675.0,1675.0,1675.0,1675.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,THA,Asia,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1675,1675,1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 00:00:00,2705424.3470728793,2868.607890017932,2876.9190323741004,19866.62007168459,20.786013150029888,20.84783153477218,37713.97883870968,39.988778840406454,40.10469244604317,276.9433590203106,0.2897698744769875,0.29063129496402873,0.9881524926686218,,,,,,,,,7801672.572562358,28042.86054421769,108.96021655328798,0.3916609977324263,28202.583333333332,0.39388812785388133,0.11137292882147025,384.81483644859816,,85134654.32897197,38598877.00934579,33440283.081132077,17668203.72906404,244797.31923076924,245813.7275862069,118.74209345794394,53.83603738317757,46.64116981132075,24.642733990147786,3428.5137931034483,98282.99655172414,0.13708275862068964,43.081738334858194,135.13200000000006,40.1,11.373000000000001,6.89,16277.671,0.1,109.86100000000003,7.040000000000002,1.8999999999999997,38.80000000000001,90.67,2.1000000000000005,77.14999999999998,0.7769999999999999,71697024.0,78320.47271608334,5.588333333333334,9.815624999999999,1091.6025204158334
min,,,,2020-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,,,,,,,,,2.0,1.0,0.0,0.0,6.0,0.0,0.0,1.7,,0.0,0.0,5862.0,175190.0,773.0,160.0,0.0,0.0,0.01,0.24,2.0,160.0,0.0,0.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024.0,-3000.0,-0.72,-7.35,-41.97233
25%,,,,2021-02-25 12:00:00,25415.0,0.0,30.571,83.0,0.0,0.286,354.288,0.0,0.426,1.157,0.0,0.004,0.86,,,,,,,,,841088.5,4671.5,11.747,0.065,4617.25,0.06475,0.0018,5.2,,21444532.0,16519085.5,5052545.0,3410142.0,51246.0,59252.25,29.91,23.04,7.047499999999999,4.7525,826.5,6842.0,0.00975,30.09,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024.0,4502.049999999999,1.2375,3.3875,62.897510000000004
50%,,,,2022-04-20 00:00:00,4029959.0,0.0,170.429,26882.0,0.0,1.286,56178.17,0.0,2.376,374.739,0.0,0.018,0.99,,,,,,,,,3107472.0,19288.0,43.4,0.2695,19291.0,0.269,0.0301,33.05,,106474266.0,51536177.0,47014756.0,21658882.5,142488.0,172412.0,148.51,71.88,65.57,30.21,2404.5,39608.5,0.055,47.22,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024.0,64473.15,6.235,8.15,899.834105
75%,,,,2023-06-12 12:00:00,4747752.0,0.0,2204.714,34232.0,0.0,20.714,66184.305,0.0,30.734,477.199,0.0,0.289,1.15,,,,,,,,,15063726.25,51426.25,210.38425,0.718,51592.0,0.7204999999999999,0.192,540.8,,135678650.0,56378914.5,52143095.5,28913728.25,356157.5,399829.0,189.24,78.63499999999999,72.725,40.3275,5577.0,196133.75,0.27325,56.48,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024.0,151281.875,9.8575,17.935000000000002,2109.2205750000003
max,,,,2024-08-04 00:00:00,4799180.0,182510.0,26072.857,34715.0,1823.0,260.429,66901.21,2544.214,363.459,483.932,25.413,3.63,1.95,,,,,,,,,24733803.0,82325.0,345.439,1.15,70803.0,0.989,0.5805,5449.3,,142635014.0,57005497.0,53486086.0,32143431.0,1063719.0,846179.0,198.94,79.51,74.6,44.83,11802.0,400006.0,0.558,76.85,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024.0,199730.6,10.32,35.65,2781.7136
