,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.0,734.0,767.0,734.0,834.0,834.0,834.0,827.0,841,54.0,60.0,45.0,26.0,0.0,985.0,54.0,60.0,45.0,26.0,985.0,985.0,985.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,TGO,Africa,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,25633.916965352448,23.61409796893668,23.68483762732175,199.7694145758662,0.17323775388291518,0.1737920910724985,2820.092882915173,2.597878733572282,2.6056566806470944,21.9774229390681,0.019056152927120668,0.019133612941881366,1.0193353783231083,,,,,,,,,303819.4263363755,964.6634877384196,35.1446558018253,0.11157629427792916,895.9304556354916,0.10364388489208633,0.037504436450839326,65.71584038694076,,2112609.8703703703,1434134.0666666667,940483.7555555556,248252.0,,3483.4994923857867,23.875,16.207666666666668,10.627777777777776,2.802692307692307,393.70862944162434,2298.3116751269035,0.026009137055837565,43.6924358974359,143.366,19.400000000000002,2.8389999999999995,1.525,1429.813,49.2,280.03299999999996,6.15,0.9000000000000002,14.199999999999998,10.474999999999996,0.7,61.03999999999999,0.5149999999999999,8848700.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,,,,,,,,,1428.0,2.0,0.165,0.0,2.0,0.0,0.0,3.2,,0.0,0.0,41154.0,40962.0,,0.0,0.0,0.0,0.47,0.46,0.0,0.0,0.0,0.0,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,8848700.0,,,,
25%,,,,2021-02-26 06:00:00,6268.0,0.0,0.143,81.0,0.0,0.0,689.569,0.0,0.016,8.911,0.0,0.0,0.85,,,,,,,,,82461.0,651.25,9.538499999999999,0.075,451.25,0.05175,0.0134,19.6,,1029641.75,784480.75,419768.0,86039.5,,120.0,11.6325,8.87,4.74,0.97,14.0,51.0,0.001,33.9,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,8848700.0,,,,
50%,,,,2022-04-20 12:00:00,36963.0,0.0,4.571,273.0,0.0,0.0,4066.452,0.0,0.503,30.034,0.0,0.0,1.04,,,,,,,,,270765.0,952.5,31.321,0.11,927.0,0.107,0.0211,47.0,,2430151.0,1482444.0,1040674.0,137215.5,,2711.0,27.465,16.755000000000003,11.76,1.55,306.0,654.0,0.007,43.52,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,8848700.0,,,,
75%,,,,2023-06-12 18:00:00,39500.0,0.0,17.857,290.0,0.0,0.143,4345.558,0.0,1.965,31.904,0.0,0.016,1.15,,,,,,,,,520880.5,1216.75,60.2535,0.141,1107.0,0.128,0.050675,73.95,,3298123.0,2168822.0,1452998.0,427804.0,,3635.0,37.2725,24.51,16.42,4.83,411.0,2806.0,0.032,53.7,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,8848700.0,,,,
max,,,,2024-08-04 00:00:00,39530.0,3173.0,453.286,290.0,14.0,2.0,4348.858,349.075,49.868,31.904,1.54,0.22,2.02,,,,,,,,,749695.0,2669.0,86.722,0.309,2118.0,0.245,0.313,435.6,,3423181.0,2255579.0,1554066.0,427804.0,,37978.0,38.69,25.49,17.56,4.83,4292.0,26372.0,0.298,73.15,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,8848700.0,,,,
std,,,,,16234.83950751294,160.03553607778332,56.46566611928317,110.82857258357299,0.9643251130787056,0.3276062377851385,1786.061604992796,17.606170808978344,6.212030663397953,12.192692294250797,0.10607576243865761,0.03605557265018918,0.24629053084588956,,,,,,,,,234628.58284187905,498.55016247520547,27.14091024603266,0.0576751881026368,454.07211294376305,0.05253313404552024,0.04315940099051077,65.9715517830386,,1249623.7531454659,798343.979514435,543641.9979242755,172020.6249108519,,5609.199292003117,14.121929921826588,9.021612724906346,6.1430314876765735,1.9426982425323964,633.8886515289935,3961.837084056514,0.044790534598284255,17.17075002407013,0.0,3.553775299526064e-15,4.44221912440758e-16,0.0,0.0,0.0,5.686040479241703e-14,0.0,2.22110956220379e-16,1.776887649763032e-15,3.553775299526064e-15,0.0,7.107550599052128e-15,1.110554781101895e-16,0.0,,,,
