,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,103.0,186.0,103.0,431.0,431.0,430.0,428.0,438,347.0,347.0,341.0,165.0,274.0,830.0,347.0,347.0,341.0,165.0,830.0,830.0,830.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,44.0,44.0,44.0,44.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,TUN,Africa,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,736611.5173237753,688.9850657108722,691.04916836429,20079.14157706093,17.576463560334528,17.62914979029359,60779.858376941454,56.850066905615286,57.02040203714799,1656.7855734767027,1.450293309438471,1.4546494907130019,0.9626331360946746,,,,,,,,,2591685.3387096776,9726.281553398057,211.34278494623658,0.7931262135922329,8160.7656612529,0.665461716937355,0.17289837209302325,11.589953271028037,,7365677.481268012,4305065.910662824,3774539.8211143697,868653.5696969697,31192.956204379563,15970.99156626506,59.611412103746396,34.841757925072045,30.547800586510267,7.030181818181818,1292.5710843373495,8700.604819277109,0.07046144578313253,49.550054945054946,74.22799999999998,32.699999999999996,8.001000000000001,5.075000000000002,10849.297000000002,2.0,318.991,8.519999999999998,1.0999999999999999,65.79999999999998,78.687,2.3000000000000003,76.70000000000003,0.7400000000000001,12356116.0,18402.53617681818,8.896363636363636,10.1025,1488.383313272727
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,,,,,,,,,1109826.0,1722.0,90.502,0.14,996.0,0.081,0.0,2.0,,0.0,0.0,3988.0,28870.0,479.0,15.0,0.0,0.0,0.03,0.23,1.0,1.0,0.0,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,-3311.4001,-7.14,-14.4,-272.28058
25%,,,,2021-02-26 06:00:00,227643.0,0.0,0.0,7755.0,0.0,0.0,18783.455,0.0,0.0,639.887,0.0,0.0,0.78,,,,,,,,,1472927.75,5664.5,120.11224999999999,0.462,3577.0,0.292,0.059025,3.875,,1673797.0,1219936.5,618062.0,568114.0,13304.75,61.0,13.545,9.875,5.0,4.6,5.0,50.0,0.0,36.6475,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,1921.0998875,2.5,-8.4575,157.96284925
50%,,,,2022-04-20 12:00:00,1038668.0,0.0,28.714,28509.0,0.0,0.714,85703.375,0.0,2.369,2352.357,0.0,0.059,0.91,,,,,,,,,2610756.0,6775.0,212.89749999999998,0.552,6506.0,0.531,0.1748,5.7,,8702575.0,5411984.0,4625538.0,1016080.0,27753.0,1366.5,70.43,43.8,37.44,8.22,110.5,195.0,0.002,45.31,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,28205.5,10.715,-1.29,2264.00625
75%,,,,2023-06-12 18:00:00,1153361.0,0.0,823.714,29423.0,0.0,22.571,95167.016,0.0,67.967,2427.773,0.0,1.862,1.11,,,,,,,,,3245481.75,10863.0,264.65774999999996,0.886,10941.0,0.892,0.25925,16.650000000000002,,12623663.5,7067342.0,6271674.0,1155398.0,37932.75,27456.25,102.16499999999999,57.2,50.76,9.35,2222.0,13725.75,0.1115,69.44,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,30914.425000000003,16.205,24.42,2501.95325
max,,,,2024-08-04 00:00:00,1153361.0,66015.0,9430.714,29423.0,1258.0,179.714,95167.016,5447.08,778.154,2427.773,103.801,14.829,1.68,,,,,,,,,4647813.0,74333.0,379.013,6.062,30216.0,2.464,0.4881,150.8,,13253317.0,7218871.0,6401841.0,1258577.0,428453.0,167388.0,107.26,58.42,51.81,10.19,13547.0,162627.0,1.316,90.74,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,33062.0,21.74,139.6,2675.76
