,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.0,30.0,25.0,2.0,0.0,726.0,26.0,30.0,25.0,2.0,726.0,726.0,726.0,0.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,TCA,North America,Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,4219.265232974911,4.065113500597372,4.077321749550629,25.711469534050178,0.023894862604540025,0.02398621929298981,91985.11485543608,88.62441995221026,88.88990473337327,560.54134348865,0.5209336917562724,0.5224541641701618,,,,,,,,,,,,,,,,,,,52846.346153846156,24120.8,24144.84,7357.5,,103.03443526170798,115.5723076923077,52.75066666666667,52.803599999999996,16.09,2253.2479338842977,45.95730027548209,0.10058677685950415,,37.31200000000001,,,,,,,,,,,,80.22000000000001,,45726.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,10000.0,7272.0,,7.0,0.0,0.0,21.87,15.9,153.0,0.0,0.0,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
25%,,,,2021-02-26 06:00:00,1998.0,0.0,0.0,14.0,0.0,0.0,43558.832,0.0,0.0,305.217,0.0,0.0,,,,,,,,,,,,,,,,,,,45593.5,20760.0,21988.0,7314.75,,14.0,99.71,45.4,48.09,15.995000000000001,306.0,4.25,0.0095,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
50%,,,,2022-04-20 12:00:00,5936.0,0.0,0.857,36.0,0.0,0.0,129412.02,0.0,18.687,784.844,0.0,0.0,,,,,,,,,,,,,,,,,,,53395.5,26913.0,26112.0,7357.5,,76.0,116.775,58.86,57.11,16.09,1662.0,17.0,0.037,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
75%,,,,2023-06-12 18:00:00,6602.0,0.0,3.429,38.0,0.0,0.0,143931.62,0.0,74.747,828.446,0.0,0.0,,,,,,,,,,,,,,,,,,,68618.5,31263.25,29400.0,7400.25,,122.0,150.0675,68.37,64.3,16.185000000000002,2668.0,50.0,0.109,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
max,,,,2024-08-04 00:00:00,6805.0,1076.0,153.714,40.0,4.0,0.571,148357.28,23458.11,3351.159,872.049,87.205,12.458,,,,,,,,,,,,,,,,,,,73907.0,32815.0,30710.0,7443.0,,517.0,161.63,71.76,67.16,16.28,11306.0,236.0,0.516,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
std,,,,,2656.700638436576,35.22834658687135,12.788943354414952,14.913851835124271,0.20607075412539488,0.07482214997261855,57919.30582365852,768.0208325115813,278.81476521338953,325.1402157230166,4.492577308856784,1.6301780944885549,,,,,,,,,,,,,,,,,,,18612.320459184677,8705.142191791605,6821.0614684715065,120.91525958289962,,113.49177785268583,40.7050123997222,19.03722921257067,14.917430486961665,0.2687005768508886,2481.9538152839636,61.94239455481353,0.13544021728936403,,1.4215101198104257e-14,,,,,,,,,,,,1.4215101198104257e-14,,0.0,,,,
