,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,12.0,9.0,3.0,0.0,645.0,12.0,12.0,9.0,3.0,645.0,645.0,645.0,0.0,1674.0,0.0,0.0,0.0,1674.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,TUV,Oceania,Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,1081.8195937873356,1.7580645161290323,1.7633289394847214,0.24731182795698925,0.0005973715651135006,0.0005997603355302576,108052.29112007168,175.5957365591398,176.12178669862192,24.701505376344087,0.05966547192353644,0.05984601557819054,0.28706896551724137,,,,,,,,,,,,,,,,,,13037.666666666666,6553.416666666667,6483.444444444444,5517.333333333333,,37.94263565891473,115.02083333333333,57.81583333333333,57.19777777777777,48.67333333333334,3347.5333333333333,11.469767441860466,0.1012248062015504,,373.067,,,,3575.104,3.2999999999999994,,27.25,,,,,67.56999999999996,,11335.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,2400.0,2400.0,2301.0,5279.0,,0.0,21.17,21.17,20.3,46.57,0.0,0.0,0.0,,373.067,,,,3575.104,3.3,,27.25,,,,,67.57,,11335.0,,,,
25%,,,,2021-02-26 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0225,,,,,,,,,,,,,,,,,,7409.75,5684.0,4652.0,5403.5,,3.0,65.3725,50.1475,41.04,47.67,265.0,1.0,0.009,,373.067,,,,3575.104,3.3,,27.25,,,,,67.57,,11335.0,,,,
50%,,,,2022-04-20 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12000000000000001,,,,,,,,,,,,,,,,,,11487.5,6219.5,6160.0,5528.0,,8.0,101.345,54.870000000000005,54.34,48.77,706.0,1.0,0.009,,373.067,,,,3575.104,3.3,,27.25,,,,,67.57,,11335.0,,,,
75%,,,,2023-06-12 18:00:00,2941.0,0.0,0.0,0.0,0.0,0.0,293747.5,0.0,0.0,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,18143.5,9329.75,9015.0,5636.5,,51.0,160.065,82.31,79.53,49.725,4499.0,16.0,0.141,,373.067,,,,3575.104,3.3,,27.25,,,,,67.57,,11335.0,,,,
max,,,,2024-08-04 00:00:00,2943.0,1096.0,156.571,1.0,1.0,0.143,293947.25,109468.64,15638.377,99.88,99.88,14.269,0.93,,,,,,,,,,,,,,,,,,26783.0,9763.0,9505.0,5745.0,,240.0,236.29,86.13,83.86,50.68,21173.0,169.0,1.491,,373.067,,,,3575.104,3.3,,27.25,,,,,67.57,,11335.0,,,,
std,,,,,1392.7413402477937,38.25271471388779,14.387353178353012,0.4315784449087632,0.02444118583689221,0.009244307338462205,139107.1982908074,3820.686644841579,1437.015075804642,43.10605507748727,2.4411856413887945,0.9224267231644556,0.3057519268530448,,,,,,,,,,,,,,,,,,8529.198548444507,2591.7418662967093,2474.773278055543,233.183046839459,,55.73510548770627,75.2474302138477,22.86591367807841,21.83351024101357,2.0567044837149875,4917.021149252321,24.94057099321449,0.22000227413809362,,0.0,,,,0.0,4.44221912440758e-16,,0.0,,,,,2.8430202396208514e-14,,0.0,,,,
