,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.0,588.0,644.0,588.0,806.0,806.0,804.0,792.0,813,140.0,99.0,45.0,22.0,61.0,810.0,140.0,99.0,45.0,22.0,810.0,810.0,810.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,UGA,Africa,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,114375.29749103943,102.83990442054959,103.1479946075494,2422.5346475507768,2.1696535244922344,2.1761653684841225,2417.432453405018,2.1736236559139788,2.1801120431396046,51.202677419354835,0.045853643966547196,0.045959257040143794,0.8094644696189495,,,,,,,,,1077752.7406832299,3605.986394557823,23.504125776397515,0.07865816326530613,3402.935483870968,0.07423076923076923,0.04931106965174129,150.18421717171717,,5603094.907142857,5428661.515151516,6814650.444444444,287894.5,11556.983606557376,32602.45061728395,11.858642857142856,11.48939393939394,14.422444444444444,0.6104545454545455,690.0148148148148,24701.59259259259,0.05228024691358024,53.96134615384615,213.759,16.400000000000002,2.1679999999999993,1.3080000000000003,1697.7069999999994,41.600000000000016,213.33300000000006,2.5,3.399999999999999,16.699999999999996,21.22200000000001,0.5,63.37,0.5440000000000003,47249588.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1510.0,38.0,0.033,0.001,288.0,0.006,0.0,1.0,,0.0,0.0,2274.0,23898.0,200.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,47249588.0,,,,
25%,,,,2021-02-26 06:00:00,40213.0,0.0,0.286,330.0,0.0,0.0,849.941,0.0,0.006,6.975,0.0,0.0,0.545,,,,,,,,,497047.5,2257.75,10.84,0.049,2381.25,0.052,0.0072,15.174999999999999,,297099.0,193354.0,415486.0,59657.0,4516.0,2620.0,0.625,0.41000000000000003,0.88,0.13,55.0,4142.0,0.009,28.24,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,47249588.0,,,,
50%,,,,2022-04-20 12:00:00,163994.0,0.0,11.429,3597.0,0.0,0.0,3466.172,0.0,0.242,76.026,0.0,0.0,0.83,,,,,,,,,920970.5,3208.0,20.085,0.07,3007.0,0.066,0.0204,47.6,,809123.5,430301.0,10127207.0,335543.5,7103.0,11935.5,1.7149999999999999,0.91,21.43,0.7150000000000001,253.0,8962.5,0.019,52.78,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,47249588.0,,,,
75%,,,,2023-06-12 18:00:00,171324.0,0.0,68.286,3632.0,0.0,0.857,3621.098,0.0,1.443,76.766,0.0,0.018,1.14,,,,,,,,,1653802.25,4548.5,36.06675,0.09925,3920.0,0.08574999999999999,0.0651,132.725,,5516859.0,13670759.0,12280315.0,431349.0,12978.0,34813.0,11.68,28.935000000000002,25.99,0.91,736.75,29118.0,0.062,75.93,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,47249588.0,,,,
max,,,,2024-08-04 00:00:00,172154.0,21653.0,3093.286,3632.0,1010.0,144.286,3638.641,457.657,65.38,76.766,21.347,3.05,2.26,,,,,,,,,2749166.0,11266.0,59.955,0.246,9015.0,0.197,0.9704,3835.4,,26406936.0,20033189.0,13061126.0,764664.0,134275.0,294514.0,55.89,42.4,27.64,1.62,6233.0,263652.0,0.558,93.52,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,47249588.0,,,,
