,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.0,846.0,846.0,846.0,870.0,870.0,870.0,870.0,877,375.0,129.0,190.0,148.0,331.0,531.0,375.0,129.0,190.0,148.0,531.0,526.0,526.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,24.0,24.0,24.0,24.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,ARE,Asia,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,715243.7037037037,637.4133811230586,639.3229514679449,1747.2467144563918,1.403225806451613,1.4074487717195925,69833.80005555555,62.23472819593786,62.4211935290593,170.59485902031062,0.13700537634408602,0.13744577591372079,1.020470588235294,,,,,,,,,58607484.67021277,199199.37588652482,6258.044164302601,21.27029432624113,192659.47471264369,20.571956321839078,0.007113678160919541,604.4010344827586,,15113748.346666666,8805515.72868217,8317851.668421052,3285950.0202702703,60840.0664652568,45587.9209039548,160.08378666666664,93.26798449612403,88.10247368421054,34.804459459459466,4828.64406779661,17746.57414448669,0.18803041825095057,44.39846153846154,112.442,34.0,1.1440000000000001,0.5259999999999999,67293.483,,317.84000000000003,17.259999999999998,1.1999999999999995,37.399999999999984,,1.1999999999999995,77.97000000000001,0.8900000000000001,9441138.0,1815.5584833333335,14.2475,19.785833333333333,194.16356780833334
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,,,,,,,,,75.0,75.0,0.008,0.008,73.0,0.008,0.0002,41.5,,826301.0,836568.0,250000.0,1843569.0,951.0,848.0,8.75,8.86,2.65,19.53,90.0,0.0,0.0,0.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,9441138.0,-382.0,-15.66,-18.47,-41.1315
25%,,,,2021-02-26 06:00:00,368175.0,0.0,0.0,1108.0,0.0,0.0,35947.27,0.0,0.0,108.181,0.0,0.0,0.88,,,,,,,,,9443033.0,88470.0,1008.3165,9.44675,79648.0,8.50475,0.0016,101.625,,8949278.5,8040860.0,7650167.25,2582670.0,26835.5,20215.5,94.78999999999999,85.17,81.0325,27.3525,2141.0,69.0,0.001,33.7975,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,9441138.0,1124.375,13.7025,-3.0275,121.06605
50%,,,,2022-04-20 12:00:00,895264.0,0.0,246.571,2302.0,0.0,0.0,87410.33,0.0,24.074,224.759,0.0,0.0,0.97,,,,,,,,,43423459.5,204290.0,4636.710499999999,21.814,203815.0,21.762999999999998,0.00635,157.3,,16587478.0,9178234.0,8678772.5,2957930.5,49919.0,35963.0,175.69,97.22,91.92500000000001,31.33,3809.0,14377.0,0.152,46.3,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,9441138.0,1270.65,19.119999999999997,4.5649999999999995,136.203165
75%,,,,2023-06-12 18:00:00,1067030.0,0.0,1053.286,2349.0,0.0,2.143,104180.94,0.0,102.839,229.348,0.0,0.209,1.1,,,,,,,,,99935333.75,285336.0,10670.9875,30.4675,280579.5,29.96,0.0098,638.8,,21419343.5,9682525.0,9188283.75,4173493.75,87703.0,67715.5,226.87,102.56,97.32,44.2025,7172.5,29436.0,0.312,56.48,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,9441138.0,3120.1252999999997,21.3425,42.662499999999994,333.1634575
max,,,,2024-08-04 00:00:00,1067030.0,26285.0,3755.0,2349.0,107.0,15.286,104180.94,2566.372,366.625,229.348,10.447,1.492,2.7,,,,,,,,,168522672.0,563330.0,17994.67,60.152,511985.0,54.669,0.0241,5951.0,,24922054.0,9991089.0,9792266.0,5138699.0,220000.0,155312.0,263.97,105.83,103.72,54.43,16451.0,60087.0,0.636,89.81,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,9441138.0,3778.4004,24.37,116.97,403.4533
std,,,,,399327.76581106597,2723.6225889680522,843.9077341277062,850.676984760393,7.5492731935289665,2.54289940057267,38988.91454944085,265.92461770618627,82.39611955659505,83.05702765763664,0.7370842457053015,0.24828232501589773,0.2828704231066668,,,,,,,,,53457992.66588113,123750.02431013076,5708.186932413845,13.213910752849644,123721.72589934708,13.2108642948943,0.005839905498971864,1030.3692527640305,,7088153.963575052,1242739.9336135178,1246320.959842288,915209.4848000163,42123.76500455776,33460.53858684935,75.07728759681947,13.163441346908785,13.201041312415775,9.693636195929036,3544.1036192017964,18128.07531456891,0.1918884076168477,18.618898021467547,0.0,0.0,2.22110956220379e-16,1.110554781101895e-16,0.0,,5.686040479241703e-14,3.553775299526064e-15,4.44221912440758e-16,1.4215101198104257e-14,,4.44221912440758e-16,1.4215101198104257e-14,1.110554781101895e-16,0.0,1384.2729666308476,12.188280276025676,33.31762712943753,147.6836889459231
