,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801.0,801.0,801.0,801.0,811.0,811.0,790.0,711.0,818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,VIR,North America,United States Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,14128.232974910394,15.176927674835625,15.2224190647482,82.56511350059738,0.07885304659498207,0.07913481126423005,163292.53215651133,175.41322355050806,175.93904916067146,954.2782102747909,0.9113817204301076,0.9140683043738765,,,,,,,,,,57522.651685393255,143.66916354556804,574.7035280898876,1.4354094881398252,141.74845869297164,1.4161923551171396,0.08955443037974684,21.252039381153306,,,,,,,,,,,,,,,0.0,306.48,42.199999999999996,18.601,10.799000000000003,,,273.6700000000001,12.259999999999998,,,,,80.58000000000003,,99479.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1.0,1.0,0.01,0.01,1.0,0.01,0.0,2.4,,,,,,,,,,,,,,,0.0,306.48,42.2,18.601,10.799,,,273.67,12.26,,,,,80.58,,99479.0,,,,
25%,,,,2021-02-26 06:00:00,2575.0,0.0,0.0,25.0,0.0,0.0,29761.56,0.0,0.0,288.947,0.0,0.0,,,,,,,,,,27596.0,18.0,275.709,0.18,35.0,0.35,0.031,7.8,,,,,,,,,,,,,,,0.0,306.48,42.2,18.601,10.799,,,273.67,12.26,,,,,80.58,,99479.0,,,,
50%,,,,2022-04-20 12:00:00,15882.0,0.0,6.286,111.0,0.0,0.0,183562.38,0.0,72.65,1282.926,0.0,0.0,,,,,,,,,,64858.0,64.0,647.99,0.639,82.0,0.819,0.062,14.1,,,,,,,,,,,,,,,0.0,306.48,42.2,18.601,10.799,,,273.67,12.26,,,,,80.58,,99479.0,,,,
75%,,,,2023-06-12 18:00:00,25182.0,0.0,15.571,131.0,0.0,0.143,291050.72,0.0,179.973,1514.083,0.0,1.651,,,,,,,,,,94685.0,138.0,945.989,1.379,143.0,1.429,0.12275,26.3,,,,,,,,,,,,,,,0.0,306.48,42.2,18.601,10.799,,,273.67,12.26,,,,,80.58,,99479.0,,,,
max,,,,2024-08-04 00:00:00,25389.0,2099.0,299.857,132.0,8.0,1.143,293443.22,24260.006,3465.715,1525.641,92.463,13.209,,,,,,,,,,115079.0,6945.0,1149.744,69.387,3093.0,30.902,0.421,333.3,,,,,,,,,,,,,,,0.0,306.48,42.2,18.601,10.799,,,273.67,12.26,,,,,80.58,,99479.0,,,,
std,,,,,10610.887511059052,98.47592068819519,34.50617515656085,51.85071796180909,0.47633249590217785,0.16478664475571875,122639.44825548951,1138.1736202809748,398.8185276288868,599.2847446067492,5.5054261874741925,1.9041600649330066,,,,,,,,,,41005.922895476644,446.66578015382424,409.6863999037764,4.4626012621127,328.79163856024013,3.2849164391711008,0.08688931495792582,29.16398885329417,,,,,,,,,,,,,,,0.0,0.0,7.107550599052128e-15,0.0,3.553775299526064e-15,,,5.686040479241703e-14,1.776887649763032e-15,,,,,2.8430202396208514e-14,,0.0,,,,
