,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,3013,0,3013,3013,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1339.0,1339.0,1325.0,1325.0,1333.0,1333.0,1339.0,1339.0,1325.0,1325.0,1333.0,1333.0,1333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3013.0,0.0,0.0,0.0,0.0
unique,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,OWID_UMC,,Upper-middle-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,3013,,3013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-07-08 09:10:34.450713600,130249358.89127837,150391.9504181601,150835.16289035353,1950755.4677419355,1687.2986857825567,1692.3386003594967,45971.57083990442,53.080909796893664,53.23735650089874,688.5199964157706,0.5955340501792115,0.5972905931695627,,,,,,,,,,,,,,,,,,,4257389165.346527,1717755814.725168,1589069582.7033963,855250642.0384905,4085746.950487622,4085342.2700675167,168.5478640776699,68.0042718446602,62.91061132075472,33.85902641509434,1617.3660915228807,1126650.1890472618,0.04455513878469617,,,,,,,,,,,,,,,,2525921300.0,,,,
min,,,,2020-01-05 00:00:00,1.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1528500.0,28500.0,2.0,1.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2525921300.0,,,,
25%,,,,2021-07-07 00:00:00,32723271.0,0.0,5837.286,982374.0,0.0,39.143,11549.693,0.0,2.06,346.729,0.0,0.014,,,,,,,,,,,,,,,,,,,3560592187.0,1733102119.0,1610489350.0,110123943.0,52542.0,54539.0,140.96,68.61500000000001,63.76,4.36,22.0,4271.0,0.0,,,,,,,,,,,,,,,,2525921300.0,,,,
50%,,,,2022-07-18 00:00:00,127646175.0,0.0,88368.429,2588491.0,0.0,526.286,45052.777,0.0,31.19,913.609,0.0,0.186,,,,,,,,,,,,,,,,,,,5311620774.0,2089531045.0,1973245837.0,1213816526.0,607902.0,759719.0,210.28,82.72,78.12,48.05,301.0,116566.0,0.005,,,,,,,,,,,,,,,,2525921300.0,,,,
75%,,,,2023-07-30 00:00:00,249777555.0,0.0,153901.714,2816682.0,0.0,3080.857,88159.1,0.0,54.32,994.149,0.0,1.087,,,,,,,,,,,,,,,,,,,5443576395.0,2108563946.0,1990370506.0,1263915791.0,6085634.0,6388423.0,215.51,83.48,78.8,50.04,2529.0,839558.0,0.033,,,,,,,,,,,,,,,,2525921300.0,,,,
max,,,,2024-08-14 00:00:00,251753518.0,40975782.0,5853683.143,2824452.0,49480.0,7068.571,88856.516,14462.421,2066.06,996.892,17.464,2.495,,,,,,,,,,,,,,,,,,,5449980941.0,2109015426.0,1990653301.0,1265984687.0,30831242.0,27328266.0,215.76,83.49,78.81,50.12,10819.0,10034911.0,0.397,,,,,,,,,,,,,,,,2525921300.0,,,,
std,,,,,98240989.66282597,1283037.2374820192,465136.53113701614,1035230.614635087,6561.0041475510725,1926.2450910570328,34674.2022451568,452.84857646586903,164.170136005112,365.38511317268245,2.3157129651782244,0.6798657400529825,,,,,,,,,,,,,,,,,,,1837348753.8397222,709635173.9668317,715940286.5280443,540880089.8918312,6479041.323819784,6371263.269965752,72.73977730245953,28.093747869074488,28.343712693441578,21.41317525507576,2522.3632457189537,2355750.333056801,0.09329395564630448,,,,,,,,,,,,,,,,0.0,,,,
