,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,145.0,120.0,61.0,27.0,62.0,997.0,145.0,120.0,61.0,27.0,997.0,997.0,997.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,45.0,45.0,45.0,45.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,UZB,Asia,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,104173.32078853047,104.58841099163679,104.90174835230675,633.9856630824373,0.6069295101553166,0.60874415817855,2981.5808775388296,2.9934593787335726,3.0024254044337932,18.14535125448029,0.017370370370370373,0.01742240862792091,1.0362475247524754,,,,,,,,,,,,,,,,,,30581561.848275863,13006027.025,10090713.409836065,10798137.111111112,243985.03225806452,84150.1745235707,88.31537931034482,37.55941666666667,29.140983606557377,31.183703703703706,2430.171514543631,22178.266800401205,0.06404312938816449,38.80467948717949,76.13400000000001,28.199999999999992,4.469000000000001,2.873,6253.104,,724.4170000000001,7.569999999999998,1.3000000000000005,24.699999999999992,,4.0,71.72000000000001,0.72,34627648.0,31898.982645777778,9.563777777777778,12.147333333333334,921.4400645177777
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,,,,,,,,,,,,,,,,,,0.0,0.0,116884.0,1949455.0,78652.0,3947.0,0.0,0.0,0.34,5.63,114.0,10.0,0.0,0.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,34627648.0,-2700.0,-4.25,-18.77,-80.53292
25%,,,,2021-02-26 06:00:00,9.0,0.0,0.0,0.0,0.0,0.0,0.258,0.0,0.0,0.0,0.0,0.0,0.9,,,,,,,,,,,,,,,,,,15697086.0,9341150.75,4458166.0,6528344.0,192808.25,25884.0,45.33,26.975,12.87,18.85,747.0,358.0,0.001,16.67,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,34627648.0,18673.002,9.68,-1.51,556.9598
50%,,,,2022-04-20 12:00:00,156715.0,0.0,14.286,1016.0,0.0,0.0,4485.394,0.0,0.409,29.079,0.0,0.0,0.97,,,,,,,,,,,,,,,,,,28821483.0,13298859.0,12598509.0,13085004.0,229503.0,63823.0,83.23,38.405,36.38,37.79,1843.0,7611.0,0.022,39.81,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,34627648.0,37254.3,10.55,9.26,1090.1665
75%,,,,2023-06-12 18:00:00,171085.0,0.0,64.857,1016.0,0.0,0.0,4896.684,0.0,1.856,29.079,0.0,0.0,1.18,,,,,,,,,,,,,,,,,,39355263.0,18109319.75,15571588.0,15196816.0,289940.5,122452.0,113.65,52.2975,44.97,43.885000000000005,3536.0,18580.0,0.054,50.93,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,34627648.0,50361.0,11.84,20.57,1438.4863
max,,,,2024-08-04 00:00:00,175081.0,8941.0,1277.286,1016.0,48.0,6.857,5011.054,255.903,36.558,29.079,1.374,0.196,1.83,,,,,,,,,,,,,,,,,,83937954.0,22094470.0,18451781.0,16413048.0,720866.0,426314.0,242.4,63.81,53.29,47.4,12311.0,353943.0,1.022,93.52,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,34627648.0,65208.2,13.78,70.68,1854.4052
