,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.0,25.0,18.0,4.0,0.0,658.0,26.0,25.0,18.0,4.0,658.0,658.0,658.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,0.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,VEN,South America,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,371912.0215053763,330.1642771804062,331.1533744757339,4009.543010752688,3.4982078853046596,3.5087028160575193,13182.28535185185,11.70255017921147,11.737586578789694,142.1168476702509,0.12399103942652331,0.12434331935290593,1.0532015810276678,,,,,,,,,,,,,,,,,,13351340.615384616,8310643.16,7169058.555555556,478992.0,,57539.73556231003,47.174615384615386,29.364399999999996,25.330555555555556,1.69,2033.0866261398176,33673.810030395136,0.11901823708206688,55.40364468864469,36.25299999999999,29.0,6.614,3.9149999999999996,16745.022,,204.84999999999994,6.469999999999999,,,,0.8,72.05999999999999,0.7110000000000002,28301700.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,,,,,,,,,,,,,,,,,,0.0,0.0,151896.0,202077.0,,0.0,0.0,0.0,0.54,0.71,0.0,0.0,0.0,0.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700.0,,,,
25%,,,,2021-02-26 06:00:00,135114.0,0.0,0.0,1308.0,0.0,0.0,4789.066,0.0,0.0,46.362,0.0,0.0,0.96,,,,,,,,,,,,,,,,,,421990.5,316000.0,1659136.75,358684.5,,0.0,1.4925000000000002,1.12,5.865,1.265,0.0,0.0,0.0,13.89,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700.0,,,,
50%,,,,2022-04-20 12:00:00,521946.0,0.0,62.857,5700.0,0.0,0.429,18500.184,0.0,2.228,202.034,0.0,0.015,1.03,,,,,,,,,,,,,,,,,,7010451.5,6006270.0,6086839.0,531194.5,,1204.0,24.77,21.22,21.505000000000003,1.875,43.0,1204.0,0.004,80.56,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700.0,,,,
75%,,,,2023-06-12 18:00:00,552695.0,0.0,493.571,5856.0,0.0,5.857,19590.072,0.0,17.494,207.564,0.0,0.208,1.14,,,,,,,,,,,,,,,,,,25525021.0,16415684.0,13153880.25,651502.0,,126261.0,90.19,58.0,46.48,2.3,4461.0,67528.0,0.239,86.11,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700.0,,,,
max,,,,2024-08-04 00:00:00,552695.0,13667.0,1952.429,5856.0,139.0,19.857,19590.072,484.422,69.203,207.564,4.927,0.704,1.54,,,,,,,,,,,,,,,,,,37860994.0,22157232.0,14966671.0,651502.0,,466473.0,133.78,78.29,52.88,2.3,16482.0,179745.0,0.635,97.22,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700.0,,,,
