,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1198,1198,1198,1198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.0,1198.0,1198.0,1198.0,0.0,0.0,1192.0,1192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,816.0,726.0,784.0,511.0,796.0,901.0,816.0,726.0,784.0,511.0,901.0,808.0,808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,OWID_WLS,Europe,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1198,1198,1198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2021-11-20 12:00:00,,,,,,,,,,,,,,29.118530884808013,9.18564023372287,483.5025041736227,152.524449081803,,,253.53775167785236,79.98037667785235,,,,,,,,,,5883536.111519608,2250431.5840220386,1970169.3048469387,2444633.8297455967,10669.038944723618,9839.421753607103,185.60057598039214,70.99144628099172,62.15052295918367,77.11780821917807,3103.9211986681466,3130.7178217821784,0.09875247524752472,,,,,,,,,,,,,,,,3170000.0,,,,
min,,,,2020-04-01 00:00:00,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,1.0,0.315,,,,,,,,,,86118.0,86039.0,79.0,322591.0,0.0,125.0,2.72,2.71,0.0,10.18,39.0,1.0,0.0,,,,,,,,,,,,,,,,3170000.0,,,,
25%,,,,2021-01-25 06:00:00,,,,,,,,,,,,,,7.0,2.208,130.25,41.088,,,63.75,20.11025,,,,,,,,,,4388912.75,2276086.75,2021081.75,1961258.5,1830.0,2026.0,138.4525,71.80000000000001,63.7575,61.865,639.0,88.0,0.00275,,,,,,,,,,,,,,,,3170000.0,,,,
50%,,,,2021-11-20 12:00:00,,,,,,,,,,,,,,15.0,4.732,411.0,129.653,,,154.5,48.738,,,,,,,,,,6862931.0,2501427.0,2373915.0,2054757.0,6040.0,5499.0,216.495,78.91,74.88499999999999,64.82,1735.0,581.0,0.018,,,,,,,,,,,,,,,,3170000.0,,,,
75%,,,,2022-09-15 18:00:00,,,,,,,,,,,,,,40.0,12.618,673.0,212.303,,,371.25,117.11375,,,,,,,,,,7598030.25,2579689.75,2453326.0,3582253.0,16383.0,16453.0,239.685,81.3775,77.3925,113.005,5190.0,2098.25,0.06625,,,,,,,,,,,,,,,,3170000.0,,,,
max,,,,2023-07-12 00:00:00,,,,,,,,,,,,,,164.0,51.735,2009.0,633.754,,,1043.0,329.022,,,,,,,,,,8932482.0,2592226.0,2477109.0,4064651.0,324429.0,61187.0,281.78,81.77,78.14,128.22,19302.0,27647.0,0.872,,,,,,,,,,,,,,,,3170000.0,,,,
std,,,,,,,,,,,,,,,,,,34.605536624814235,10.91658146638549,429.19600137473674,135.3930628995147,,,248.05707189310982,78.25144583888292,,,,,,,,,,2430853.38574135,572256.2655618407,780067.9175334991,1047761.3776770931,15708.394087791066,9986.994693863595,76.68309410334804,18.052192232195644,24.607903352154963,33.05240100872521,3150.4769362757875,5845.986852078594,0.1844209145507343,,,,,,,,,,,,,,,,0.0,,,,
