,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47.0,41.0,36.0,7.0,0.0,671.0,47.0,41.0,36.0,7.0,671.0,671.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,WLF,Oceania,Wallis and Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,1570.221027479092,2.2461170848267624,2.2528466147393647,5.211469534050179,0.005376344086021506,0.005393648891551827,136529.08684946236,195.29754958183992,195.88262312762132,453.13206451612893,0.4674677419354839,0.4688657878969443,,,,,,,,,,,,,,,,,,,10291.595744680852,5028.195121951219,4843.638888888889,3314.4285714285716,,26.141579731743665,88.75170212765957,43.36073170731707,41.77055555555555,28.58142857142857,2254.2175856929957,9.922503725782414,0.08556482861400894,,,,,,,,,,,,,,79.94000000000001,,11596.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1286.0,1286.0,1488.0,3027.0,,1.0,11.09,11.09,12.83,26.1,86.0,0.0,0.0,,,,,,,,,,,,,,79.94,,11596.0,,,,
25%,,,,2021-02-26 06:00:00,9.0,0.0,0.0,0.0,0.0,0.0,782.541,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,8610.5,4374.0,4351.5,3132.0,,2.0,74.255,37.72,37.5275,27.01,172.0,3.0,0.026,,,,,,,,,,,,,,79.94,,11596.0,,,,
50%,,,,2022-04-20 12:00:00,454.0,0.0,0.0,7.0,0.0,0.0,39474.83,0.0,0.0,608.643,0.0,0.0,,,,,,,,,,,,,,,,,,,9902.0,4821.0,4899.5,3201.0,,7.0,85.39,41.57,42.254999999999995,27.6,604.0,3.0,0.026,,,,,,,,,,,,,,79.94,,11596.0,,,,
75%,,,,2023-06-12 18:00:00,3550.0,0.0,0.0,8.0,0.0,0.0,308668.8,0.0,0.0,695.592,0.0,0.0,,,,,,,,,,,,,,,,,,,12093.0,5938.0,5823.5,3471.5,,17.0,104.285,51.21,50.222500000000004,29.935000000000002,1466.0,7.0,0.06,,,,,,,,,,,,,,79.94,,11596.0,,,,
max,,,,2024-08-04 00:00:00,3760.0,2654.0,379.143,9.0,7.0,1.0,326928.1,230762.55,32966.079,782.541,608.643,86.949,,,,,,,,,,,,,,,,,,,18058.0,7150.0,6803.0,3766.0,,432.0,155.73,61.66,58.67,32.48,37254.0,272.0,2.346,,,,,,,,,,,,,,79.94,,11596.0,,,,
std,,,,,1615.315111634376,65.54759270636985,24.723855378678532,3.507070800211552,0.1745142912146467,0.06587236210381135,140449.97003488019,5699.29525846708,2149.7130269510426,304.93629900759424,15.173843106822316,5.7273133280793616,,,,,,,,,,,,,,,,,,,3879.8967078338255,1100.9844962467046,1310.9710719872126,306.41032246692623,,58.59373852143788,33.45886782558867,9.494464542627957,11.305672645546304,2.6442417222550363,5052.966044622524,33.010942785275724,0.2846989112109658,,,,,,,,,,,,,,1.4215101198104257e-14,,0.0,,,,
