,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1684,0,1684,1684,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1352.0,1352.0,1341.0,1325.0,1346.0,1346.0,1352.0,1352.0,1341.0,1325.0,1346.0,1346.0,1346.0,0.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,0.0,0.0,0.0,0.0
unique,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,OWID_WRL,,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1684,,1684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-25 12:00:00.000000256,427537145.8189964,463521.5394265233,464885.93470281607,4784922.9301075265,4218.033452807646,4230.250025164769,53514.05695340502,58.01815471923537,58.188959257040146,598.920233572282,0.5279671445639188,0.529513481126423,1.0701579925650557,,,,,,,,,,,,,,,,,,10092511846.466717,4386874584.881657,3917015681.3691278,1820061464.669434,10079698.562407132,10074542.921248144,126.55005177514794,55.007048816568044,49.11613721103653,22.82178113207547,1263.2473997028233,3713901.9338781573,0.04656166419019317,,58.04499999999999,30.899999999999995,8.696,5.355000000000001,15469.206999999997,10.0,233.07000000000005,8.510000000000002,6.433999999999998,34.63499999999999,60.13000000000001,2.7049999999999996,72.58000000000001,0.737,7975105024.0,,,,
min,,,,2020-01-05 00:00:00,2.0,0.0,0.286,3.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.55,,,,,,,,,,,,,,,,,,0.0,0.0,9669.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,7975105024.0,,,,
25%,,,,2021-02-28 18:00:00,110747235.0,0.0,35735.429,2620744.0,0.0,393.429,13862.032,0.0,4.473,328.034,0.0,0.049,0.9475,,,,,,,,,,,,,,,,,,7246320823.25,3944208626.5,3179289407.0,238849578.0,273110.75,268359.75,90.86,49.4575,39.87,2.99,34.0,82687.0,0.001,,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,7975105024.0,,,,
50%,,,,2022-04-25 12:00:00,503419024.0,0.0,333532.143,6241478.0,0.0,2170.143,63012.055,0.0,41.748,781.235,0.0,0.272,1.03,,,,,,,,,,,,,,,,,,12804674096.5,5386799865.0,4965268861.0,2563574171.0,4193852.5,4383754.5,160.56,67.54499999999999,62.26,32.14,549.5,1176829.5,0.015,,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,7975105024.0,,,,
75%,,,,2023-06-20 06:00:00,766875788.0,0.0,587696.429,6948012.0,0.0,7269.714,95988.47,0.0,73.561,869.67,0.0,0.91,1.1,,,,,,,,,,,,,,,,,,13536930110.75,5620701222.0,5170566932.0,2798123643.0,16312893.5,16659693.0,169.74,70.48,64.83,35.09,2089.25,5565980.75,0.07,,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,7975105024.0,,,,
max,,,,2024-08-14 00:00:00,775866783.0,44236227.0,6319461.0,7057132.0,103719.0,14817.0,97113.85,5536.969,790.996,883.329,12.982,1.855,3.59,,,,,,,,,,,,,,,,,,13578774356.0,5631263739.0,5177942957.0,2817381093.0,49673198.0,43691814.0,170.26,70.61,64.93,35.33,5479.0,21071266.0,0.264,,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,7975105024.0,,,,
std,,,,,308144071.6444675,2189362.375055731,708071.87500548,2523699.408513898,15119.67697241661,4171.419030517372,38569.84019908501,274.0385492861893,88.62810038438228,315.88691802589074,1.8925241122261593,0.5221365757012784,0.2930438067756216,,,,,,,,,,,,,,,,,,4722349564.887587,1884966060.4512644,1843131085.372163,1177024209.5629103,12971208.233495688,12716644.61058624,59.21355963485831,23.635537795288744,23.111674471114615,14.758891702543526,1594.5383484557012,5442525.812331138,0.06824011499896727,,1.4215075970223134e-14,3.5537689925557835e-15,0.0,8.884422481389459e-16,3.639059448377122e-12,0.0,5.686030388089254e-14,1.7768844962778917e-15,1.7768844962778917e-15,7.107537985111567e-15,7.107537985111567e-15,4.442211240694729e-16,1.4215075970223134e-14,0.0,0.0,,,,
