,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,81.0,81.0,81.0,58.0,88,47.0,48.0,40.0,21.0,0.0,945.0,47.0,48.0,40.0,21.0,945.0,945.0,945.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,YEM,Asia,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,8347.242532855436,7.135603345280765,7.156973636908328,1563.0716845878137,1.2897252090800477,1.2936159376872378,218.3833285543608,0.18668100358422934,0.18724685440383462,40.89343608124254,0.03373596176821984,0.03381306171360096,0.7014241164241164,,,,,,,,,333264.5,,10.1045,,84.0,0.003,0.007240740740740741,206.70344827586206,,798593.340425532,652600.0833333334,484821.475,45666.04761904762,,1368.2126984126985,2.370212765957447,1.936875,1.4387499999999998,0.13476190476190478,40.593650793650795,1105.332275132275,0.003314285714285715,25.542390109890107,53.508,20.300000000000008,2.9219999999999997,1.583,1479.1470000000004,18.800000000000008,495.00299999999993,5.35,7.599999999999999,29.199999999999992,49.54200000000001,0.7,66.12,0.46999999999999986,33696612.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,329592.0,,9.993,,84.0,0.003,0.0,34.6,,18555.0,18555.0,8577.0,31.0,,8.0,0.06,0.06,0.03,0.0,0.0,0.0,0.0,0.0,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,33696612.0,,,,
25%,,,,2021-02-26 06:00:00,2161.0,0.0,0.0,619.0,0.0,0.0,56.537,0.0,0.0,16.194,0.0,0.0,0.28,,,,,,,,,331428.25,,10.04875,,84.0,0.003,0.0,65.3,,540804.5,330587.5,355263.5,33507.0,,154.0,1.605,0.9775,1.05,0.1,5.0,122.0,0.0,11.11,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,33696612.0,,,,
50%,,,,2022-04-20 12:00:00,11817.0,0.0,0.143,2148.0,0.0,0.0,309.16,0.0,0.004,56.197,0.0,0.0,0.795,,,,,,,,,333264.5,,10.1045,,84.0,0.003,0.0051,117.6,,821853.0,659980.5,435562.5,59240.0,,543.0,2.44,1.96,1.295,0.18,16.0,301.0,0.001,26.85,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,33696612.0,,,,
75%,,,,2023-06-12 18:00:00,11945.0,0.0,5.143,2159.0,0.0,1.0,312.509,0.0,0.135,56.484,0.0,0.026,0.99,,,,,,,,,335100.75,,10.16025,,84.0,0.003,0.0119,195.8,,1147594.5,938878.25,758038.25,63879.0,,1926.0,3.4050000000000002,2.785,2.2525,0.19,57.0,1552.0,0.005,34.26,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,33696612.0,,,,
max,,,,2024-08-04 00:00:00,11945.0,728.0,104.0,2159.0,100.0,14.286,312.509,19.046,2.721,56.484,2.616,0.374,1.81,,,,,,,,,336937.0,,10.216,,84.0,0.003,0.0289,587.4,,1298654.0,1050202.0,807057.0,68925.0,,10240.0,3.85,3.12,2.4,0.2,304.0,10240.0,0.03,66.67,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,33696612.0,,,,
