,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,634.0,674.0,634.0,771.0,771.0,771.0,771.0,778,520.0,520.0,492.0,236.0,469.0,598.0,520.0,520.0,492.0,236.0,598.0,598.0,598.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,ZWE,Africa,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,164934.4814814815,159.22713687985654,159.7044418465228,3811.357825567503,3.4289127837514934,3.4392061114439776,10264.102075268818,9.908926479378364,9.938644484412473,237.18610454002388,0.21337933094384706,0.2140641102456561,0.9776736842105263,,,,,,,,,702922.6706231454,2949.026813880126,43.950464391691405,0.18437381703470032,3064.9027237354085,0.19163553826199742,0.07392451361867705,37.55473411154345,,6175811.95,3457212.198076923,2615714.1300813006,537036.0974576271,23030.68656716418,20437.6889632107,37.84059615384616,21.183346153846156,16.027154471544716,3.290508474576271,1252.26254180602,10766.677257525083,0.06596822742474918,58.478232600732596,42.72899999999999,19.599999999999998,2.822,1.8820000000000006,1899.7750000000003,21.4,307.846,1.8200000000000003,1.6,30.699999999999992,36.791,1.6999999999999995,61.49000000000001,0.5709999999999997,16320539.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,,,,,,,,,7808.0,96.0,0.488,0.006,194.0,0.012,0.0009,2.3,,39.0,39.0,280.0,3943.0,57.0,306.0,0.0,0.0,0.0,0.02,19.0,306.0,0.002,0.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
25%,,,,2021-02-26 06:00:00,35768.0,0.0,1.857,1432.0,0.0,0.0,2225.892,0.0,0.116,89.115,0.0,0.0,0.73,,,,,,,,,135740.0,966.0,8.48675,0.06025,1373.5,0.086,0.0228,11.2,,1593197.0,973137.5,1057039.75,125327.25,6635.0,6413.0,9.765,5.965,6.475,0.765,393.25,2127.75,0.013,51.03,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
50%,,,,2022-04-20 12:00:00,247261.0,0.0,18.857,5462.0,0.0,0.429,15387.396,0.0,1.174,339.908,0.0,0.027,0.95,,,,,,,,,456307.5,2007.5,28.5305,0.1255,2340.0,0.146,0.0503,19.9,,6696103.0,3837867.0,3044416.5,598076.5,13717.0,12492.0,41.025,23.515,18.655,3.665,765.5,5508.0,0.034,53.7,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
75%,,,,2023-06-12 18:00:00,265161.0,0.0,94.857,5695.0,0.0,1.571,16501.338,0.0,5.903,354.408,0.0,0.098,1.24,,,,,,,,,1247030.0,3812.75,77.971,0.23875,3739.0,0.23399999999999999,0.08925,43.8,,9916119.75,5754465.0,3622155.75,898319.25,26405.0,25482.75,60.7625,35.255,22.195,5.505,1561.5,13249.25,0.081,73.15,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
max,,,,2024-08-04 00:00:00,266386.0,26671.0,3810.143,5740.0,482.0,68.857,16577.57,1659.774,237.111,357.208,29.996,4.285,2.63,,,,,,,,,2379907.0,20631.0,148.804,1.29,22289.0,1.394,0.4415,1125.9,,12222754.0,6437808.0,4751270.0,1033676.0,182395.0,121347.0,74.89,39.45,29.11,6.33,7435.0,85662.0,0.525,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
std,,,,,113350.41867477912,1301.9351542017762,470.0939333948115,2372.24236439342,27.151189906559527,9.771286732295538,7053.954128686637,81.02124682943744,29.254628402150622,147.62793508606586,1.6896653297484698,0.6080661300790258,0.4369912924964391,,,,,,,,,661838.3801225856,2969.7063297410223,41.38164902680631,0.18568416850935968,2933.5324457052725,0.18341491741457921,0.07481802066670773,69.83366964345186,,4113502.7428710083,2192739.294602377,1564895.4464949947,377638.1705016384,28579.316704288587,22422.785893364744,25.204372082853588,13.435459336661168,9.588260623525203,2.3141275080107686,1373.8827711925765,14056.170966722999,0.08611832454816667,19.31549516153801,7.107550599052128e-15,3.553775299526064e-15,0.0,6.66332868661137e-16,2.274416191696681e-13,0.0,0.0,2.22110956220379e-16,0.0,7.107550599052128e-15,0.0,4.44221912440758e-16,7.107550599052128e-15,2.22110956220379e-16,0.0,,,,
